 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	8.343000E-7	1.291000E-6	6.462432E-1
3.375000E+0	8.378000E-7	1.300000E-6	6.444615E-1
6.750000E+0	8.327000E-7	1.298000E-6	6.415254E-1
1.012500E+1	8.450000E-7	1.339000E-6	6.310680E-1
1.350000E+1	7.867000E-7	1.251000E-6	6.288569E-1
1.687500E+1	8.381000E-7	1.343000E-6	6.240506E-1
2.025000E+1	7.829000E-7	1.273000E-6	6.150039E-1
2.362500E+1	7.686000E-7	1.242000E-6	6.188406E-1
2.700000E+1	8.158000E-7	1.369000E-6	5.959094E-1
3.037500E+1	7.972000E-7	1.338000E-6	5.958146E-1
3.375000E+1	7.347000E-7	1.237000E-6	5.939369E-1
3.712500E+1	7.633000E-7	1.307000E-6	5.840092E-1
4.050000E+1	7.762000E-7	1.384000E-6	5.608382E-1
4.387500E+1	7.534000E-7	1.350000E-6	5.580741E-1
4.725000E+1	7.483000E-7	1.353000E-6	5.530673E-1
5.062500E+1	7.113000E-7	1.302000E-6	5.463134E-1
5.400000E+1	6.962000E-7	1.308000E-6	5.322630E-1
5.737500E+1	6.742000E-7	1.291000E-6	5.222308E-1
6.075000E+1	6.506000E-7	1.272000E-6	5.114780E-1
6.412500E+1	6.428000E-7	1.317000E-6	4.880790E-1
6.750000E+1	6.499000E-7	1.419000E-6	4.579986E-1
7.087500E+1	6.254000E-7	1.434000E-6	4.361227E-1
7.425000E+1	5.701000E-7	1.347000E-6	4.232368E-1
7.762500E+1	5.513000E-7	1.382000E-6	3.989146E-1
8.100000E+1	5.081000E-7	1.338000E-6	3.797459E-1
8.437500E+1	4.702000E-7	1.304000E-6	3.605828E-1
8.775000E+1	4.248000E-7	1.269000E-6	3.347518E-1
9.112500E+1	3.899000E-7	1.267000E-6	3.077348E-1
9.450000E+1	3.555000E-7	1.377000E-6	2.581699E-1
9.787500E+1	3.105000E-7	1.351000E-6	2.298298E-1
1.012500E+2	2.645000E-7	1.326000E-6	1.994721E-1
1.046250E+2	2.231000E-7	1.351000E-6	1.651369E-1
1.080000E+2	1.779000E-7	1.381000E-6	1.288197E-1
1.113750E+2	1.399000E-7	1.376000E-6	1.016715E-1
1.147500E+2	1.120000E-7	1.349000E-6	8.302446E-2
1.181250E+2	1.074000E-7	1.258000E-6	8.537361E-2
1.215000E+2	1.318000E-7	1.235000E-6	1.067206E-1
1.248750E+2	1.661000E-7	1.295000E-6	1.282625E-1
1.282500E+2	2.075000E-7	1.311000E-6	1.582761E-1
1.316250E+2	2.425000E-7	1.254000E-6	1.933812E-1
1.350000E+2	2.909000E-7	1.258000E-6	2.312401E-1
1.383750E+2	3.352000E-7	1.304000E-6	2.570552E-1
1.417500E+2	3.542000E-7	1.173000E-6	3.019608E-1
1.451250E+2	4.190000E-7	1.321000E-6	3.171840E-1
1.485000E+2	4.477000E-7	1.258000E-6	3.558824E-1
1.518750E+2	4.649000E-7	1.202000E-6	3.867720E-1
1.552500E+2	5.001000E-7	1.217000E-6	4.109285E-1
1.586250E+2	5.458000E-7	1.269000E-6	4.301024E-1
1.620000E+2	5.720000E-7	1.280000E-6	4.468750E-1
1.653750E+2	5.932000E-7	1.265000E-6	4.689328E-1
1.687500E+2	6.136000E-7	1.245000E-6	4.928514E-1
1.721250E+2	6.576000E-7	1.329000E-6	4.948081E-1
1.755000E+2	6.703000E-7	1.290000E-6	5.196124E-1
1.788750E+2	7.266000E-7	1.367000E-6	5.315289E-1
1.822500E+2	6.918000E-7	1.278000E-6	5.413146E-1
1.856250E+2	7.134000E-7	1.276000E-6	5.590909E-1
1.890000E+2	7.281000E-7	1.287000E-6	5.657343E-1
1.923750E+2	7.612000E-7	1.331000E-6	5.719008E-1
1.957500E+2	7.459000E-7	1.287000E-6	5.795649E-1
1.991250E+2	7.691000E-7	1.290000E-6	5.962016E-1
2.025000E+2	7.446000E-7	1.214000E-6	6.133443E-1
2.058750E+2	8.190000E-7	1.353000E-6	6.053215E-1
2.092500E+2	8.326000E-7	1.354000E-6	6.149188E-1
2.126250E+2	8.108000E-7	1.300000E-6	6.236923E-1
2.160000E+2	8.285000E-7	1.329000E-6	6.234011E-1
2.193750E+2	8.420000E-7	1.326000E-6	6.349925E-1
2.227500E+2	8.289000E-7	1.299000E-6	6.381062E-1
2.261250E+2	8.511000E-7	1.306000E-6	6.516845E-1
2.295000E+2	9.128000E-7	1.417000E-6	6.441778E-1
2.328750E+2	8.907000E-7	1.373000E-6	6.487254E-1
2.362500E+2	8.956000E-7	1.368000E-6	6.546784E-1
2.396250E+2	8.749000E-7	1.313000E-6	6.663366E-1
2.430000E+2	9.324000E-7	1.412000E-6	6.603399E-1
2.463750E+2	8.591000E-7	1.287000E-6	6.675214E-1
2.497500E+2	9.055000E-7	1.353000E-6	6.692535E-1
2.531250E+2	8.070000E-7	1.187000E-6	6.798652E-1
2.565000E+2	9.161000E-7	1.365000E-6	6.711355E-1
2.598750E+2	9.285000E-7	1.376000E-6	6.747820E-1
2.632500E+2	8.868000E-7	1.291000E-6	6.869094E-1
2.666250E+2	8.935000E-7	1.295000E-6	6.899614E-1
