 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	3.648000E-7	7.150000E-7	5.102098E-1
2.250000E+0	2.926000E-7	5.660000E-7	5.169611E-1
4.500000E+0	2.726000E-7	5.180000E-7	5.262548E-1
6.750000E+0	5.978000E-7	1.135000E-6	5.266960E-1
9.000000E+0	3.442000E-7	6.720000E-7	5.122024E-1
1.125000E+1	4.205000E-7	7.960000E-7	5.282663E-1
1.350000E+1	6.514000E-7	1.210000E-6	5.383471E-1
1.575000E+1	6.027000E-7	1.187000E-6	5.077506E-1
1.800000E+1	7.257000E-7	1.482000E-6	4.896761E-1
2.025000E+1	7.142000E-7	1.474000E-6	4.845319E-1
2.250000E+1	8.751000E-7	1.769000E-6	4.946863E-1
2.475000E+1	4.528000E-7	8.580000E-7	5.277389E-1
2.700000E+1	8.912000E-7	1.846000E-6	4.827736E-1
2.925000E+1	7.868000E-7	1.670000E-6	4.711377E-1
3.150000E+1	6.290000E-7	1.237000E-6	5.084883E-1
3.375000E+1	5.681000E-7	1.204000E-6	4.718439E-1
3.600000E+1	7.880000E-7	1.716000E-6	4.592075E-1
3.825000E+1	8.863000E-7	1.966000E-6	4.508138E-1
4.050000E+1	7.541000E-7	1.571000E-6	4.800127E-1
4.275000E+1	8.036000E-7	1.738000E-6	4.623705E-1
4.500000E+1	8.114000E-7	1.753000E-6	4.628637E-1
4.725000E+1	8.728000E-7	2.009000E-6	4.344450E-1
4.950000E+1	7.100000E-7	1.617000E-6	4.390847E-1
5.175000E+1	6.689000E-7	1.432000E-6	4.671089E-1
5.400000E+1	5.976000E-7	1.318000E-6	4.534143E-1
5.625000E+1	8.730000E-7	2.131000E-6	4.096668E-1
5.850000E+1	8.163000E-7	1.968000E-6	4.147866E-1
6.075000E+1	7.382000E-7	1.756000E-6	4.203872E-1
6.300000E+1	5.758000E-7	1.319000E-6	4.365428E-1
6.525000E+1	8.862000E-7	2.388000E-6	3.711055E-1
6.750000E+1	7.780000E-7	2.085000E-6	3.731415E-1
6.975000E+1	8.545000E-7	2.331000E-6	3.665809E-1
7.200000E+1	5.769000E-7	1.442000E-6	4.000693E-1
7.425000E+1	6.801000E-7	1.827000E-6	3.722496E-1
7.650000E+1	6.248000E-7	1.728000E-6	3.615741E-1
7.875000E+1	4.492000E-7	1.112000E-6	4.039568E-1
8.100000E+1	6.148000E-7	1.795000E-6	3.425070E-1
8.325000E+1	4.990000E-7	1.424000E-6	3.504213E-1
8.550000E+1	5.441000E-7	1.645000E-6	3.307599E-1
8.775000E+1	6.318000E-7	2.063000E-6	3.062530E-1
9.000000E+1	4.853000E-7	1.548000E-6	3.135013E-1
9.225000E+1	4.411000E-7	1.401000E-6	3.148465E-1
9.450000E+1	5.026000E-7	1.853000E-6	2.712358E-1
9.675000E+1	5.046000E-7	2.042000E-6	2.471107E-1
9.900000E+1	2.961000E-7	1.035000E-6	2.860870E-1
1.012500E+2	2.483000E-7	8.070000E-7	3.076828E-1
1.035000E+2	3.199000E-7	1.294000E-6	2.472179E-1
1.057500E+2	2.970000E-7	1.346000E-6	2.206538E-1
1.080000E+2	2.370000E-7	1.101000E-6	2.152589E-1
1.102500E+2	2.805000E-7	1.751000E-6	1.601942E-1
1.125000E+2	2.861000E-7	2.312000E-6	1.237457E-1
1.147500E+2	1.766000E-7	1.170000E-6	1.509402E-1
1.170000E+2	1.638000E-7	1.394000E-6	1.175036E-1
1.192500E+2	1.530000E-7	1.822000E-6	8.397366E-2
1.215000E+2	1.140000E-7	1.422000E-6	8.016878E-2
1.237500E+2	8.550000E-8	7.430000E-7	1.150740E-1
1.260000E+2	9.730000E-8	8.290000E-7	1.173703E-1
1.282500E+2	1.421000E-7	1.474000E-6	9.640434E-2
1.305000E+2	1.335000E-7	9.050000E-7	1.475138E-1
1.327500E+2	1.563000E-7	9.650000E-7	1.619689E-1
1.350000E+2	1.346000E-7	5.850000E-7	2.300855E-1
1.372500E+2	2.212000E-7	1.190000E-6	1.858824E-1
1.395000E+2	2.088000E-7	8.870000E-7	2.354002E-1
1.417500E+2	3.066000E-7	1.405000E-6	2.182206E-1
1.440000E+2	3.128000E-7	1.200000E-6	2.606667E-1
1.462500E+2	2.535000E-7	8.330000E-7	3.043217E-1
1.485000E+2	2.812000E-7	9.320000E-7	3.017167E-1
1.507500E+2	2.830000E-7	8.150000E-7	3.472393E-1
1.530000E+2	2.780000E-7	7.580000E-7	3.667546E-1
1.552500E+2	3.741000E-7	1.150000E-6	3.253043E-1
1.575000E+2	1.529000E-7	3.500000E-7	4.368571E-1
1.597500E+2	4.317000E-7	1.233000E-6	3.501217E-1
1.620000E+2	4.100000E-7	1.017000E-6	4.031465E-1
1.642500E+2	5.461000E-7	1.490000E-6	3.665101E-1
1.665000E+2	6.519000E-7	1.836000E-6	3.550654E-1
1.687500E+2	7.455000E-7	2.160000E-6	3.451389E-1
1.710000E+2	6.479000E-7	1.736000E-6	3.732143E-1
1.732500E+2	4.713000E-7	1.144000E-6	4.119755E-1
1.755000E+2	4.850000E-7	1.182000E-6	4.103215E-1
1.777500E+2	8.823000E-7	2.340000E-6	3.770513E-1
1.800000E+2	6.402000E-7	1.534000E-6	4.173403E-1
1.822500E+2	7.527000E-7	1.816000E-6	4.144824E-1
1.845000E+2	7.441000E-7	1.810000E-6	4.111050E-1
1.867500E+2	5.875000E-7	1.334000E-6	4.404048E-1
1.890000E+2	7.113000E-7	1.566000E-6	4.542146E-1
1.912500E+2	6.229000E-7	1.377000E-6	4.523602E-1
1.935000E+2	8.282000E-7	1.835000E-6	4.513351E-1
1.957500E+2	5.854000E-7	1.168000E-6	5.011986E-1
1.980000E+2	8.056000E-7	1.782000E-6	4.520763E-1
2.002500E+2	5.743000E-7	1.201000E-6	4.781848E-1
2.025000E+2	2.833000E-7	5.870000E-7	4.826235E-1
2.047500E+2	5.498000E-7	1.142000E-6	4.814361E-1
2.070000E+2	7.146000E-7	1.461000E-6	4.891170E-1
2.092500E+2	8.751000E-7	1.874000E-6	4.669691E-1
2.115000E+2	4.857000E-7	1.019000E-6	4.766438E-1
2.137500E+2	1.248400E-6	2.687000E-6	4.646074E-1
2.160000E+2	1.022700E-6	2.186000E-6	4.678408E-1
2.182500E+2	9.608000E-7	1.986000E-6	4.837865E-1
2.205000E+2	7.111000E-7	1.401000E-6	5.075660E-1
2.227500E+2	5.943000E-7	1.206000E-6	4.927861E-1
2.250000E+2	6.860000E-7	1.307000E-6	5.248661E-1
2.272500E+2	8.176000E-7	1.606000E-6	5.090909E-1
2.295000E+2	5.532000E-7	1.049000E-6	5.273594E-1
2.317500E+2	6.941000E-7	1.311000E-6	5.294432E-1
2.340000E+2	4.137000E-7	8.230000E-7	5.026731E-1
2.362500E+2	4.814000E-7	8.820000E-7	5.458050E-1
2.385000E+2	1.175700E-6	2.436000E-6	4.826355E-1
2.407500E+2	7.194000E-7	1.453000E-6	4.951136E-1
2.430000E+2	4.300000E-7	7.510000E-7	5.725699E-1
2.452500E+2	9.010000E-7	1.752000E-6	5.142694E-1
2.475000E+2	5.711000E-7	1.100000E-6	5.191818E-1
2.497500E+2	6.484000E-7	1.180000E-6	5.494915E-1
2.520000E+2	5.268000E-7	9.470000E-7	5.562830E-1
2.542500E+2	8.329000E-7	1.605000E-6	5.189408E-1
2.565000E+2	4.129000E-7	7.180000E-7	5.750696E-1
2.587500E+2	4.673000E-7	8.490000E-7	5.504122E-1
2.610000E+2	8.247000E-7	1.494000E-6	5.520080E-1
2.632500E+2	7.397000E-7	1.334000E-6	5.544978E-1
2.655000E+2	5.959000E-7	1.062000E-6	5.611111E-1
2.677500E+2	2.700000E-7	4.720000E-7	5.720339E-1
