 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	5.378000E-7	7.910000E-7	6.798989E-1
2.250000E+0	4.737000E-7	6.830000E-7	6.935578E-1
4.500000E+0	7.505000E-7	1.111000E-6	6.755176E-1
6.750000E+0	8.163000E-7	1.229000E-6	6.641985E-1
9.000000E+0	7.667000E-7	1.162000E-6	6.598107E-1
1.125000E+1	7.002000E-7	1.053000E-6	6.649573E-1
1.350000E+1	7.690000E-7	1.146000E-6	6.710297E-1
1.575000E+1	6.638000E-7	1.010000E-6	6.572277E-1
1.800000E+1	7.718000E-7	1.197000E-6	6.447786E-1
2.025000E+1	6.606000E-7	9.860000E-7	6.699797E-1
2.250000E+1	6.287000E-7	9.630000E-7	6.528557E-1
2.475000E+1	7.500000E-7	1.150000E-6	6.521739E-1
2.700000E+1	8.552000E-7	1.399000E-6	6.112938E-1
2.925000E+1	8.323000E-7	1.348000E-6	6.174332E-1
3.150000E+1	7.325000E-7	1.196000E-6	6.124582E-1
3.375000E+1	8.416000E-7	1.419000E-6	5.930937E-1
3.600000E+1	5.828000E-7	9.080000E-7	6.418502E-1
3.825000E+1	6.504000E-7	1.028000E-6	6.326848E-1
4.050000E+1	4.262000E-7	6.420000E-7	6.638629E-1
4.275000E+1	4.943000E-7	8.140000E-7	6.072482E-1
4.500000E+1	6.198000E-7	1.044000E-6	5.936782E-1
4.725000E+1	6.201000E-7	1.035000E-6	5.991304E-1
4.950000E+1	2.358000E-7	3.690000E-7	6.390244E-1
5.175000E+1	5.223000E-7	9.080000E-7	5.752203E-1
5.400000E+1	5.016000E-7	8.460000E-7	5.929078E-1
5.625000E+1	2.914000E-7	4.830000E-7	6.033126E-1
5.850000E+1	2.827000E-7	4.550000E-7	6.213187E-1
6.075000E+1	6.170000E-7	1.169000E-6	5.278015E-1
6.300000E+1	4.278000E-7	7.570000E-7	5.651255E-1
6.525000E+1	3.455000E-7	6.230000E-7	5.545746E-1
6.750000E+1	2.196000E-7	3.780000E-7	5.809524E-1
6.975000E+1	4.003000E-7	7.340000E-7	5.453678E-1
7.200000E+1	2.656000E-7	4.230000E-7	6.278960E-1
7.425000E+1	3.262000E-7	5.940000E-7	5.491582E-1
7.650000E+1	4.984000E-7	1.058000E-6	4.710775E-1
7.875000E+1	4.515000E-7	9.880000E-7	4.569838E-1
8.100000E+1	5.273000E-7	1.301000E-6	4.053036E-1
8.325000E+1	3.135000E-7	6.760000E-7	4.637574E-1
8.550000E+1	2.275000E-7	4.630000E-7	4.913607E-1
8.775000E+1	2.160000E-7	4.950000E-7	4.363636E-1
9.000000E+1	1.470000E-7	2.450000E-7	6.000000E-1
9.225000E+1	2.089000E-7	4.680000E-7	4.463675E-1
9.450000E+1	1.383000E-7	2.960000E-7	4.672297E-1
9.675000E+1	2.781000E-7	8.350000E-7	3.330539E-1
9.900000E+1	2.514000E-7	8.060000E-7	3.119107E-1
1.012500E+2	2.185000E-7	6.650000E-7	3.285714E-1
1.035000E+2	1.778000E-7	5.780000E-7	3.076125E-1
1.057500E+2	1.865000E-7	7.070000E-7	2.637907E-1
1.080000E+2	1.846000E-7	8.680000E-7	2.126728E-1
1.102500E+2	1.573000E-7	8.430000E-7	1.865955E-1
1.125000E+2	1.373000E-7	8.620000E-7	1.592807E-1
1.147500E+2	1.295000E-7	1.083000E-6	1.195753E-1
1.170000E+2	1.188000E-7	1.378000E-6	8.621190E-2
1.192500E+2	8.550000E-8	1.130000E-6	7.566372E-2
1.215000E+2	6.950000E-8	1.034000E-6	6.721470E-2
1.237500E+2	5.670000E-8	6.170000E-7	9.189627E-2
1.260000E+2	7.640000E-8	9.010000E-7	8.479467E-2
1.282500E+2	8.660000E-8	7.580000E-7	1.142480E-1
1.305000E+2	1.223000E-7	9.710000E-7	1.259526E-1
1.327500E+2	1.363000E-7	9.000000E-7	1.514444E-1
1.350000E+2	1.463000E-7	7.650000E-7	1.912418E-1
1.372500E+2	1.878000E-7	9.420000E-7	1.993631E-1
1.395000E+2	2.148000E-7	9.690000E-7	2.216718E-1
1.417500E+2	2.784000E-7	1.318000E-6	2.112291E-1
1.440000E+2	2.785000E-7	1.084000E-6	2.569188E-1
1.462500E+2	2.968000E-7	1.035000E-6	2.867633E-1
1.485000E+2	3.712000E-7	1.383000E-6	2.684020E-1
