  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	1.519000E-7	1.132000E-6	1.341873E-1	2.938830E-1
3.375000E+0	1.662000E-7	1.246000E-6	1.333868E-1	2.937330E-1
6.750000E+0	1.445000E-7	1.115000E-6	1.295964E-1	2.825710E-1
1.012500E+1	1.524000E-7	1.163000E-6	1.310404E-1	2.891253E-1
1.350000E+1	1.718000E-7	1.268000E-6	1.354890E-1	3.052586E-1
1.687500E+1	1.681000E-7	1.270000E-6	1.323622E-1	3.008857E-1
2.025000E+1	1.863000E-7	1.365000E-6	1.364835E-1	3.122636E-1
2.362500E+1	1.843000E-7	1.374000E-6	1.341339E-1	3.070966E-1
2.700000E+1	1.767000E-7	1.316000E-6	1.342705E-1	3.083156E-1
3.037500E+1	1.641000E-7	1.248000E-6	1.314904E-1	3.001658E-1
3.375000E+1	1.569000E-7	1.200000E-6	1.307500E-1	3.071325E-1
3.712500E+1	1.494000E-7	1.143000E-6	1.307087E-1	3.023775E-1
4.050000E+1	1.738000E-7	1.333000E-6	1.303826E-1	3.097580E-1
4.387500E+1	1.703000E-7	1.323000E-6	1.287226E-1	3.134448E-1
4.725000E+1	1.611000E-7	1.254000E-6	1.284689E-1	3.138848E-1
5.062500E+1	1.710000E-7	1.328000E-6	1.287651E-1	3.228588E-1
5.400000E+1	1.743000E-7	1.400000E-6	1.245000E-1	3.087477E-1
5.737500E+1	1.640600E-7	1.334000E-6	1.229835E-1	3.173091E-1
6.075000E+1	1.575300E-7	1.302000E-6	1.209908E-1	3.192465E-1
6.412500E+1	1.576700E-7	1.318000E-6	1.196282E-1	3.267729E-1
6.750000E+1	1.457500E-7	1.277000E-6	1.141347E-1	3.158781E-1
7.087500E+1	1.454200E-7	1.272000E-6	1.143239E-1	3.296629E-1
7.425000E+1	1.468500E-7	1.368000E-6	1.073465E-1	3.248757E-1
7.762500E+1	1.326700E-7	1.298000E-6	1.022111E-1	3.079650E-1
8.100000E+1	1.315400E-7	1.408000E-6	9.342330E-2	2.905068E-1
8.437500E+1	1.203000E-7	1.312000E-6	9.169207E-2	3.086619E-1
8.775000E+1	1.121300E-7	1.357000E-6	8.263080E-2	2.992243E-1
9.112500E+1	9.061000E-8	1.255000E-6	7.219920E-2	2.846125E-1
9.450000E+1	8.365000E-8	1.346000E-6	6.214710E-2	2.571017E-1
9.787500E+1	7.346000E-8	1.333000E-6	5.510878E-2	2.563895E-1
1.012500E+2	6.217000E-8	1.265000E-6	4.914625E-2	2.615466E-1
1.046250E+2	5.264000E-8	1.196000E-6	4.401338E-2	2.677396E-1
1.080000E+2	4.321000E-8	1.123000E-6	3.847729E-2	2.814339E-1
1.113750E+2	4.059000E-8	1.177000E-6	3.448598E-2	3.074111E-1
1.147500E+2	3.257000E-8	1.189000E-6	2.739277E-2	2.963171E-1
1.181250E+2	2.529000E-8	1.347000E-6	1.877506E-2	2.192171E-1
1.215000E+2	1.884000E-8	1.434000E-6	1.313808E-2	1.450063E-1
1.248750E+2	1.717000E-8	1.148000E-6	1.495645E-2	1.526450E-1
1.282500E+2	2.742000E-8	1.277000E-6	2.147220E-2	1.635039E-1
1.316250E+2	4.234000E-8	1.384000E-6	3.059249E-2	1.949660E-1
1.350000E+2	5.715000E-8	1.285000E-6	4.447471E-2	2.497002E-1
1.383750E+2	7.801000E-8	1.417000E-6	5.505293E-2	2.645174E-1
1.417500E+2	8.983000E-8	1.326000E-6	6.774510E-2	2.905612E-1
1.451250E+2	9.292000E-8	1.140000E-6	8.150877E-2	3.166207E-1
1.485000E+2	1.145400E-7	1.258000E-6	9.104928E-2	3.340117E-1
1.518750E+2	1.196300E-7	1.210000E-6	9.886777E-2	3.382640E-1
1.552500E+2	1.252300E-7	1.166000E-6	1.074014E-1	3.500548E-1
1.586250E+2	1.434500E-7	1.275000E-6	1.125098E-1	3.450985E-1
1.620000E+2	1.708200E-7	1.456000E-6	1.173214E-1	3.405752E-1
1.653750E+2	1.734000E-7	1.346000E-6	1.288262E-1	3.610974E-1
1.687500E+2	1.641000E-7	1.231000E-6	1.333063E-1	3.587638E-1
1.721250E+2	1.630000E-7	1.197000E-6	1.361738E-1	3.608651E-1
1.755000E+2	1.728000E-7	1.213000E-6	1.424567E-1	3.662541E-1
1.788750E+2	1.819000E-7	1.243000E-6	1.463395E-1	3.801251E-1
1.822500E+2	1.722000E-7	1.129000E-6	1.525244E-1	3.828525E-1
1.856250E+2	1.774000E-7	1.139000E-6	1.557507E-1	3.879800E-1
1.890000E+2	2.060000E-7	1.312000E-6	1.570122E-1	3.795209E-1
1.923750E+2	2.064000E-7	1.258000E-6	1.640700E-1	3.923930E-1
1.957500E+2	2.089000E-7	1.255000E-6	1.664542E-1	3.938270E-1
1.991250E+2	2.015000E-7	1.187000E-6	1.697557E-1	4.027929E-1
2.025000E+2	2.234000E-7	1.323000E-6	1.688587E-1	3.867110E-1
2.058750E+2	2.225000E-7	1.263000E-6	1.761679E-1	4.083414E-1
2.092500E+2	2.303000E-7	1.311000E-6	1.756674E-1	4.027216E-1
2.126250E+2	2.061000E-7	1.176000E-6	1.752551E-1	3.886943E-1
2.160000E+2	2.524000E-7	1.373000E-6	1.838310E-1	4.101265E-1
2.193750E+2	2.235000E-7	1.223000E-6	1.827473E-1	4.121968E-1
2.227500E+2	2.506000E-7	1.337000E-6	1.874346E-1	4.137490E-1
2.261250E+2	2.226000E-7	1.211000E-6	1.838150E-1	4.026168E-1
2.295000E+2	2.200000E-7	1.150000E-6	1.913043E-1	4.127568E-1
2.328750E+2	2.196000E-7	1.194000E-6	1.839196E-1	3.909870E-1
2.362500E+2	2.490000E-7	1.310000E-6	1.900763E-1	4.114303E-1
2.396250E+2	2.792000E-7	1.416000E-6	1.971751E-1	4.235897E-1
2.430000E+2	2.254000E-7	1.136000E-6	1.984155E-1	4.231591E-1
2.463750E+2	2.451000E-7	1.278000E-6	1.917840E-1	4.050420E-1
2.497500E+2	2.508000E-7	1.259000E-6	1.992057E-1	5.764979E-1
2.531250E+2	2.446000E-7	1.231000E-6	1.987002E-1	4.186485E-1
2.565000E+2	2.645000E-7	1.297000E-6	2.039322E-1	4.378685E-1
2.598750E+2	2.416000E-7	1.204000E-6	2.006645E-1	4.245254E-1
2.632500E+2	2.600000E-7	1.256000E-6	2.070064E-1	4.356980E-1
2.666250E+2	2.485000E-7	1.228000E-6	2.023616E-1	4.219996E-1
