 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	8.994000E-7	1.279000E-6	7.032056E-1
3.375000E+0	9.056000E-7	1.316000E-6	6.881459E-1
6.750000E+0	8.612000E-7	1.239000E-6	6.950767E-1
1.012500E+1	8.559000E-7	1.244000E-6	6.880225E-1
1.350000E+1	8.851000E-7	1.290000E-6	6.861240E-1
1.687500E+1	8.566000E-7	1.259000E-6	6.803813E-1
2.025000E+1	8.320000E-7	1.233000E-6	6.747770E-1
2.362500E+1	8.169000E-7	1.243000E-6	6.572003E-1
2.700000E+1	8.159000E-7	1.241000E-6	6.574537E-1
3.037500E+1	8.039000E-7	1.246000E-6	6.451846E-1
3.375000E+1	8.035000E-7	1.268000E-6	6.336751E-1
3.712500E+1	7.827000E-7	1.233000E-6	6.347932E-1
4.050000E+1	7.777000E-7	1.279000E-6	6.080532E-1
4.387500E+1	7.593000E-7	1.254000E-6	6.055024E-1
4.725000E+1	7.430000E-7	1.244000E-6	5.972669E-1
5.062500E+1	7.302000E-7	1.256000E-6	5.813694E-1
5.400000E+1	7.106000E-7	1.258000E-6	5.648649E-1
5.737500E+1	6.852000E-7	1.273000E-6	5.382561E-1
6.075000E+1	6.806000E-7	1.283000E-6	5.304754E-1
6.412500E+1	6.518000E-7	1.269000E-6	5.136328E-1
6.750000E+1	6.103000E-7	1.237000E-6	4.933711E-1
7.087500E+1	5.820000E-7	1.226000E-6	4.747145E-1
7.425000E+1	5.618000E-7	1.232000E-6	4.560065E-1
7.762500E+1	5.139000E-7	1.196000E-6	4.296823E-1
8.100000E+1	4.922000E-7	1.238000E-6	3.975767E-1
8.437500E+1	4.550000E-7	1.236000E-6	3.681230E-1
8.775000E+1	4.147000E-7	1.225000E-6	3.385306E-1
9.112500E+1	3.815000E-7	1.249000E-6	3.054444E-1
9.450000E+1	3.347000E-7	1.234000E-6	2.712318E-1
9.787500E+1	2.941000E-7	1.221000E-6	2.408681E-1
1.012500E+2	2.578000E-7	1.272000E-6	2.026730E-1
1.046250E+2	2.080000E-7	1.268000E-6	1.640379E-1
1.080000E+2	1.692000E-7	1.263000E-6	1.339667E-1
1.113750E+2	1.342000E-7	1.285000E-6	1.044358E-1
1.147500E+2	1.106000E-7	1.276000E-6	8.667712E-2
1.181250E+2	1.125000E-7	1.316000E-6	8.548632E-2
1.215000E+2	1.303000E-7	1.270000E-6	1.025984E-1
1.248750E+2	1.626000E-7	1.234000E-6	1.317666E-1
1.282500E+2	2.034000E-7	1.274000E-6	1.596546E-1
1.316250E+2	2.452000E-7	1.300000E-6	1.886154E-1
1.350000E+2	2.835000E-7	1.255000E-6	2.258964E-1
1.383750E+2	3.298000E-7	1.264000E-6	2.609177E-1
1.417500E+2	3.751000E-7	1.298000E-6	2.889831E-1
1.451250E+2	4.134000E-7	1.278000E-6	3.234742E-1
1.485000E+2	4.512000E-7	1.261000E-6	3.578113E-1
1.518750E+2	4.848000E-7	1.253000E-6	3.869114E-1
1.552500E+2	5.218000E-7	1.257000E-6	4.151154E-1
1.586250E+2	5.562000E-7	1.265000E-6	4.396838E-1
1.620000E+2	5.886000E-7	1.264000E-6	4.656646E-1
1.653750E+2	6.093000E-7	1.258000E-6	4.843402E-1
1.687500E+2	6.250000E-7	1.215000E-6	5.144033E-1
1.721250E+2	6.770000E-7	1.288000E-6	5.256211E-1
1.755000E+2	7.007000E-7	1.278000E-6	5.482786E-1
1.788750E+2	7.090000E-7	1.261000E-6	5.622522E-1
1.822500E+2	7.207000E-7	1.238000E-6	5.821486E-1
1.856250E+2	7.630000E-7	1.289000E-6	5.919317E-1
1.890000E+2	7.502000E-7	1.239000E-6	6.054883E-1
1.923750E+2	7.783000E-7	1.259000E-6	6.181890E-1
1.957500E+2	7.805000E-7	1.238000E-6	6.304523E-1
1.991250E+2	7.953000E-7	1.233000E-6	6.450122E-1
2.025000E+2	8.080000E-7	1.237000E-6	6.531932E-1
2.058750E+2	8.224000E-7	1.243000E-6	6.616251E-1
2.092500E+2	8.220000E-7	1.232000E-6	6.672078E-1
2.126250E+2	8.472000E-7	1.249000E-6	6.783026E-1
2.160000E+2	8.633000E-7	1.258000E-6	6.862480E-1
2.193750E+2	8.764000E-7	1.269000E-6	6.906225E-1
2.227500E+2	8.762000E-7	1.255000E-6	6.981673E-1
2.261250E+2	8.899000E-7	1.253000E-6	7.102155E-1
2.295000E+2	8.854000E-7	1.247000E-6	7.100241E-1
2.328750E+2	8.975000E-7	1.253000E-6	7.162809E-1
2.362500E+2	9.002000E-7	1.256000E-6	7.167197E-1
2.396250E+2	9.045000E-7	1.249000E-6	7.241793E-1
2.430000E+2	8.868000E-7	1.213000E-6	7.310800E-1
2.463750E+2	8.955000E-7	1.226000E-6	7.304241E-1
2.497500E+2	9.154000E-7	1.253000E-6	7.305666E-1
2.531250E+2	9.473000E-7	1.281000E-6	7.395004E-1
2.565000E+2	9.643000E-7	1.306000E-6	7.383614E-1
2.598750E+2	9.652000E-7	1.290000E-6	7.482171E-1
2.632500E+2	9.622000E-7	1.298000E-6	7.412943E-1
2.666250E+2	9.655000E-7	1.286000E-6	7.507776E-1
