  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	1.256000E-7	1.272600E-6	9.869558E-2	2.198923E-1
2.250000E+0	9.860000E-8	9.458000E-7	1.042504E-1	2.316724E-1
4.500000E+0	6.100000E-8	6.060000E-7	1.006601E-1	2.326189E-1
6.750000E+0	1.331000E-7	1.354900E-6	9.823603E-2	2.203247E-1
9.000000E+0	1.218000E-7	1.234100E-6	9.869541E-2	2.119161E-1
1.125000E+1	1.247000E-7	1.237000E-6	1.008084E-1	2.219488E-1
1.350000E+1	9.780000E-8	9.942000E-7	9.837055E-2	2.245922E-1
1.575000E+1	1.220000E-7	1.300200E-6	9.383172E-2	2.239580E-1
1.800000E+1	1.425000E-7	1.603200E-6	8.888473E-2	2.231226E-1
2.025000E+1	9.020000E-8	9.056000E-7	9.960247E-2	2.471033E-1
2.250000E+1	1.178000E-7	1.266300E-6	9.302693E-2	2.317066E-1
2.475000E+1	1.172000E-7	1.344700E-6	8.715699E-2	2.090186E-1
2.700000E+1	1.172000E-7	1.354100E-6	8.655195E-2	2.295377E-1
2.925000E+1	9.350000E-8	1.045500E-6	8.943089E-2	2.393088E-1
3.150000E+1	1.155000E-7	1.384800E-6	8.340555E-2	2.175111E-1
3.375000E+1	1.163000E-7	1.435000E-6	8.104530E-2	1.982460E-1
3.600000E+1	8.740000E-8	1.040200E-6	8.402230E-2	2.357874E-1
3.825000E+1	9.390000E-8	1.131100E-6	8.301653E-2	2.459081E-1
4.050000E+1	7.390000E-8	8.661000E-7	8.532502E-2	2.644646E-1
4.275000E+1	1.125000E-7	1.459900E-6	7.706007E-2	2.243343E-1
4.500000E+1	1.001000E-7	1.327700E-6	7.539354E-2	2.601384E-1
4.725000E+1	9.580000E-8	1.285800E-6	7.450614E-2	2.472884E-1
4.950000E+1	8.590000E-8	1.170100E-6	7.341253E-2	2.298886E-1
5.175000E+1	5.870000E-8	7.652000E-7	7.671197E-2	2.231057E-1
5.400000E+1	7.840000E-8	1.085300E-6	7.223809E-2	2.405359E-1
5.625000E+1	7.730000E-8	1.134800E-6	6.811773E-2	2.215218E-1
5.850000E+1	9.320000E-8	1.568500E-6	5.941983E-2	1.907581E-1
6.075000E+1	8.120000E-8	1.313700E-6	6.181015E-2	2.205758E-1
6.300000E+1	6.420000E-8	9.418000E-7	6.816734E-2	3.121613E-1
6.525000E+1	5.920000E-8	8.894000E-7	6.656173E-2	2.492895E-1
6.750000E+1	6.210000E-8	9.599000E-7	6.469424E-2	3.202063E-1
6.975000E+1	4.630000E-8	6.724000E-7	6.885782E-2	2.598322E-1
7.200000E+1	7.380000E-8	1.150600E-6	6.414045E-2	2.669133E-1
7.425000E+1	5.240000E-8	8.267000E-7	6.338454E-2	2.492307E-1
7.650000E+1	8.400000E-8	1.244400E-6	6.750241E-2	2.278838E-1
7.875000E+1	6.780000E-8	8.785000E-7	7.717701E-2	2.707627E-1
8.100000E+1	6.160000E-8	7.316000E-7	8.419902E-2	2.710942E-1
8.325000E+1	9.050000E-8	1.136200E-6	7.965147E-2	2.947355E-1
8.550000E+1	6.420000E-8	6.671000E-7	9.623745E-2	3.673944E-1
8.775000E+1	9.470000E-8	1.096200E-6	8.638935E-2	2.681642E-1
9.000000E+1	9.650000E-8	1.081600E-6	8.921967E-2	2.859034E-1
9.225000E+1	6.960000E-8	7.307000E-7	9.525113E-2	2.970801E-1
9.450000E+1	9.590000E-8	1.105400E-6	8.675593E-2	2.674870E-1
9.675000E+1	5.220000E-8	5.870000E-7	8.892675E-2	2.745992E-1
9.900000E+1	7.340000E-8	8.321000E-7	8.821055E-2	2.421964E-1
1.012500E+2	5.820000E-8	6.778000E-7	8.586604E-2	2.165027E-1
1.035000E+2	7.910000E-8	8.527000E-7	9.276416E-2	2.549752E-1
1.057500E+2	6.910000E-8	7.451000E-7	9.273923E-2	2.453874E-1
1.080000E+2	7.010000E-8	7.461000E-7	9.395523E-2	2.441865E-1
1.102500E+2	9.360000E-8	1.045000E-6	8.956938E-2	2.336268E-1
1.125000E+2	9.880000E-8	1.206700E-6	8.187619E-2	2.033008E-1
1.147500E+2	1.128000E-7	1.407200E-6	8.015918E-2	2.053814E-1
1.170000E+2	1.111000E-7	1.330200E-6	8.352127E-2	1.980889E-1
1.192500E+2	7.040000E-8	6.974000E-7	1.009464E-1	2.417834E-1
1.215000E+2	8.360000E-8	8.597000E-7	9.724322E-2	2.266487E-1
1.237500E+2	6.690000E-8	7.196000E-7	9.296832E-2	2.065313E-1
1.260000E+2	1.256000E-7	1.544300E-6	8.133135E-2	1.856417E-1
1.282500E+2	1.017000E-7	1.053200E-6	9.656286E-2	2.142752E-1
1.305000E+2	8.380000E-8	8.667000E-7	9.668859E-2	2.198471E-1
1.327500E+2	8.670000E-8	9.216000E-7	9.407552E-2	2.136481E-1
1.350000E+2	5.960000E-8	6.235000E-7	9.558941E-2	2.085683E-1
1.372500E+2	1.028000E-7	1.103700E-6	9.314125E-2	2.127763E-1
