 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	9.980000E-7	1.326000E-6	7.526395E-1
3.375000E+0	9.926000E-7	1.348000E-6	7.363501E-1
6.750000E+0	9.787000E-7	1.335000E-6	7.331086E-1
1.012500E+1	9.877000E-7	1.359000E-6	7.267844E-1
1.350000E+1	9.607000E-7	1.310000E-6	7.333588E-1
1.687500E+1	9.423000E-7	1.310000E-6	7.193130E-1
2.025000E+1	9.267000E-7	1.314000E-6	7.052511E-1
2.362500E+1	9.341000E-7	1.341000E-6	6.965697E-1
2.700000E+1	9.173000E-7	1.334000E-6	6.876312E-1
3.037500E+1	8.886000E-7	1.309000E-6	6.788388E-1
3.375000E+1	8.629000E-7	1.282000E-6	6.730889E-1
3.712500E+1	8.573000E-7	1.304000E-6	6.574387E-1
4.050000E+1	8.005000E-7	1.234000E-6	6.487034E-1
4.387500E+1	8.100000E-7	1.277000E-6	6.342991E-1
4.725000E+1	7.976000E-7	1.292000E-6	6.173375E-1
5.062500E+1	7.727000E-7	1.290000E-6	5.989922E-1
5.400000E+1	7.271000E-7	1.244000E-6	5.844855E-1
5.737500E+1	7.085000E-7	1.223000E-6	5.793132E-1
6.075000E+1	6.871000E-7	1.250000E-6	5.496800E-1
6.412500E+1	6.497000E-7	1.247000E-6	5.210104E-1
6.750000E+1	6.183000E-7	1.229000E-6	5.030919E-1
7.087500E+1	5.788000E-7	1.174000E-6	4.930153E-1
7.425000E+1	5.567000E-7	1.196000E-6	4.654682E-1
7.762500E+1	5.291000E-7	1.218000E-6	4.344007E-1
8.100000E+1	4.797000E-7	1.172000E-6	4.093003E-1
8.437500E+1	4.548000E-7	1.216000E-6	3.740132E-1
8.775000E+1	4.148000E-7	1.223000E-6	3.391660E-1
9.112500E+1	3.668000E-7	1.174000E-6	3.124361E-1
9.450000E+1	3.299000E-7	1.223000E-6	2.697465E-1
9.787500E+1	2.861000E-7	1.195000E-6	2.394142E-1
1.012500E+2	2.449000E-7	1.214000E-6	2.017298E-1
1.046250E+2	2.081000E-7	1.264000E-6	1.646361E-1
1.080000E+2	1.642000E-7	1.244000E-6	1.319936E-1
1.113750E+2	1.319000E-7	1.226000E-6	1.075856E-1
1.147500E+2	1.113000E-7	1.235000E-6	9.012146E-2
1.181250E+2	1.036000E-7	1.221000E-6	8.484848E-2
1.215000E+2	1.206000E-7	1.226000E-6	9.836868E-2
1.248750E+2	1.491000E-7	1.210000E-6	1.232231E-1
1.282500E+2	1.828000E-7	1.196000E-6	1.528428E-1
1.316250E+2	2.249000E-7	1.211000E-6	1.857143E-1
1.350000E+2	2.606000E-7	1.178000E-6	2.212224E-1
1.383750E+2	2.985000E-7	1.188000E-6	2.512626E-1
1.417500E+2	3.436000E-7	1.198000E-6	2.868114E-1
1.451250E+2	3.793000E-7	1.181000E-6	3.211685E-1
1.485000E+2	4.230000E-7	1.185000E-6	3.569620E-1
1.518750E+2	4.609000E-7	1.200000E-6	3.840833E-1
1.552500E+2	4.999000E-7	1.211000E-6	4.127993E-1
1.586250E+2	5.217000E-7	1.171000E-6	4.455167E-1
1.620000E+2	5.790000E-7	1.227000E-6	4.718826E-1
1.653750E+2	6.283000E-7	1.292000E-6	4.863003E-1
1.687500E+2	6.400000E-7	1.233000E-6	5.190592E-1
1.721250E+2	6.665000E-7	1.230000E-6	5.418699E-1
1.755000E+2	6.894000E-7	1.228000E-6	5.614007E-1
1.788750E+2	7.032000E-7	1.197000E-6	5.874687E-1
1.822500E+2	7.294000E-7	1.217000E-6	5.993426E-1
1.856250E+2	7.671000E-7	1.247000E-6	6.151564E-1
1.890000E+2	7.716000E-7	1.228000E-6	6.283388E-1
1.923750E+2	7.972000E-7	1.218000E-6	6.545156E-1
1.957500E+2	7.990000E-7	1.223000E-6	6.533115E-1
1.991250E+2	7.888000E-7	1.177000E-6	6.701784E-1
2.025000E+2	8.245000E-7	1.223000E-6	6.741619E-1
2.058750E+2	8.299000E-7	1.192000E-6	6.962248E-1
2.092500E+2	8.367000E-7	1.202000E-6	6.960899E-1
2.126250E+2	8.682000E-7	1.206000E-6	7.199005E-1
2.160000E+2	8.802000E-7	1.223000E-6	7.197056E-1
2.193750E+2	8.733000E-7	1.183000E-6	7.382079E-1
2.227500E+2	9.573000E-7	1.316000E-6	7.274316E-1
2.261250E+2	9.232000E-7	1.241000E-6	7.439162E-1
2.295000E+2	9.308000E-7	1.234000E-6	7.542950E-1
2.328750E+2	9.506000E-7	1.256000E-6	7.568471E-1
2.362500E+2	9.174000E-7	1.198000E-6	7.657763E-1
2.396250E+2	9.315000E-7	1.209000E-6	7.704715E-1
2.430000E+2	9.504000E-7	1.227000E-6	7.745721E-1
2.463750E+2	9.641000E-7	1.236000E-6	7.800162E-1
2.497500E+2	9.735000E-7	1.240000E-6	7.850806E-1
2.531250E+2	9.507000E-7	1.207000E-6	7.876553E-1
2.565000E+2	9.364000E-7	1.180000E-6	7.935593E-1
2.598750E+2	9.970000E-7	1.252000E-6	7.963259E-1
2.632500E+2	1.009100E-6	1.259000E-6	8.015091E-1
2.666250E+2	1.010600E-6	1.253000E-6	8.065443E-1
