 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	6.189000E-7	1.378900E-6	4.488360E-1
2.250000E+0	4.697000E-7	1.043800E-6	4.499904E-1
4.500000E+0	3.914000E-7	9.045000E-7	4.327253E-1
6.750000E+0	3.929000E-7	8.812000E-7	4.458693E-1
9.000000E+0	3.343000E-7	7.178000E-7	4.657286E-1
1.125000E+1	2.960000E-7	6.517000E-7	4.541967E-1
1.350000E+1	4.468000E-7	1.020100E-6	4.379963E-1
1.575000E+1	4.426000E-7	1.056400E-6	4.189701E-1
1.800000E+1	5.319000E-7	1.335200E-6	3.983673E-1
2.025000E+1	4.423000E-7	1.097300E-6	4.030803E-1
2.250000E+1	4.269000E-7	1.063300E-6	4.014859E-1
2.475000E+1	3.968000E-7	9.516000E-7	4.169819E-1
2.700000E+1	4.302000E-7	1.140900E-6	3.770707E-1
2.925000E+1	4.545000E-7	1.216200E-6	3.737050E-1
3.150000E+1	3.963000E-7	1.033500E-6	3.834543E-1
3.375000E+1	3.396000E-7	8.307000E-7	4.088118E-1
3.600000E+1	4.578000E-7	1.284700E-6	3.563478E-1
3.825000E+1	4.651000E-7	1.377700E-6	3.375916E-1
4.050000E+1	4.965000E-7	1.538900E-6	3.226330E-1
4.275000E+1	3.951000E-7	1.150200E-6	3.435055E-1
4.500000E+1	4.789000E-7	1.652400E-6	2.898209E-1
4.725000E+1	4.266000E-7	1.415900E-6	3.012925E-1
4.950000E+1	3.636000E-7	1.138600E-6	3.193395E-1
5.175000E+1	2.968000E-7	8.632000E-7	3.438369E-1
5.400000E+1	3.457000E-7	1.151100E-6	3.003214E-1
5.625000E+1	2.936000E-7	9.548000E-7	3.074990E-1
5.850000E+1	2.881000E-7	9.249000E-7	3.114931E-1
6.075000E+1	3.083000E-7	1.100200E-6	2.802218E-1
6.300000E+1	3.775000E-7	1.728700E-6	2.183722E-1
6.525000E+1	2.677000E-7	1.002600E-6	2.670058E-1
6.750000E+1	3.428000E-7	1.696700E-6	2.020393E-1
6.975000E+1	2.419000E-7	9.128000E-7	2.650088E-1
7.200000E+1	2.621000E-7	1.090700E-6	2.403044E-1
7.425000E+1	2.325000E-7	9.142000E-7	2.543207E-1
7.650000E+1	1.737000E-7	5.864000E-7	2.962142E-1
7.875000E+1	2.280000E-7	7.999000E-7	2.850356E-1
8.100000E+1	1.707000E-7	5.496000E-7	3.105895E-1
8.325000E+1	2.863000E-7	1.059400E-6	2.702473E-1
8.550000E+1	3.640000E-7	1.389600E-6	2.619459E-1
8.775000E+1	2.660000E-7	8.257000E-7	3.221509E-1
9.000000E+1	2.362000E-7	7.569000E-7	3.120624E-1
9.225000E+1	3.204000E-7	9.993000E-7	3.206244E-1
9.450000E+1	3.461000E-7	1.067100E-6	3.243370E-1
9.675000E+1	3.992000E-7	1.232700E-6	3.238420E-1
9.900000E+1	2.190000E-7	6.013000E-7	3.642109E-1
1.012500E+2	2.570000E-7	6.480000E-7	3.966049E-1
1.035000E+2	3.123000E-7	8.584000E-7	3.638164E-1
1.057500E+2	2.983000E-7	7.893000E-7	3.779298E-1
1.080000E+2	3.097000E-7	8.049000E-7	3.847683E-1
1.102500E+2	2.760000E-7	7.199000E-7	3.833866E-1
1.125000E+2	1.414000E-7	3.511000E-7	4.027343E-1
1.147500E+2	3.595000E-7	9.211000E-7	3.902942E-1
1.170000E+2	2.666000E-7	6.323000E-7	4.216353E-1
1.192500E+2	1.531000E-7	3.667000E-7	4.175075E-1
1.215000E+2	2.957000E-7	6.892000E-7	4.290482E-1
1.237500E+2	2.546000E-7	5.656000E-7	4.501414E-1
1.260000E+2	2.966000E-7	6.770000E-7	4.381093E-1
1.282500E+2	3.091000E-7	6.859000E-7	4.506488E-1
1.305000E+2	4.734000E-7	1.076400E-6	4.397993E-1
1.327500E+2	3.852000E-7	8.748000E-7	4.403292E-1
1.350000E+2	1.814000E-7	3.958000E-7	4.583123E-1
1.372500E+2	5.189000E-7	1.185400E-6	4.377425E-1
1.395000E+2	3.718000E-7	7.677000E-7	4.843038E-1
1.417500E+2	3.747000E-7	8.022000E-7	4.670905E-1
1.440000E+2	2.479000E-7	4.945000E-7	5.013145E-1
1.462500E+2	5.452000E-7	1.199000E-6	4.547123E-1
1.485000E+2	3.767000E-7	8.037000E-7	4.687072E-1
1.507500E+2	5.340000E-7	1.171600E-6	4.557870E-1
1.530000E+2	4.169000E-7	8.472000E-7	4.920916E-1
1.552500E+2	4.659000E-7	9.671000E-7	4.817496E-1
1.575000E+2	4.681000E-7	9.632000E-7	4.859842E-1
1.597500E+2	3.726000E-7	7.658000E-7	4.865500E-1
1.620000E+2	3.220000E-7	6.424000E-7	5.012453E-1
1.642500E+2	4.693000E-7	9.851000E-7	4.763983E-1
1.665000E+2	4.198000E-7	8.371000E-7	5.014933E-1
1.687500E+2	5.408000E-7	1.143100E-6	4.730995E-1
1.710000E+2	6.410000E-7	1.318700E-6	4.860848E-1
1.732500E+2	6.119000E-7	1.229400E-6	4.977225E-1
1.755000E+2	4.716000E-7	9.540000E-7	4.943396E-1
1.777500E+2	4.559000E-7	8.971000E-7	5.081931E-1
