  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	1.426000E-7	1.276600E-6	1.117030E-1	2.492674E-1
2.250000E+0	1.425000E-7	1.319600E-6	1.079873E-1	2.346145E-1
4.500000E+0	1.805000E-7	1.784900E-6	1.011261E-1	2.293812E-1
6.750000E+0	1.184000E-7	1.057600E-6	1.119516E-1	2.580019E-1
9.000000E+0	8.050000E-8	7.690000E-7	1.046814E-1	2.502238E-1
1.125000E+1	5.170000E-8	4.740000E-7	1.090717E-1	2.398074E-1
1.350000E+1	7.760000E-8	7.187000E-7	1.079727E-1	2.471586E-1
1.575000E+1	1.262000E-7	1.224400E-6	1.030709E-1	2.504705E-1
1.800000E+1	1.314000E-7	1.292600E-6	1.016556E-1	2.377130E-1
2.025000E+1	7.690000E-8	7.179000E-7	1.071180E-1	2.585897E-1
2.250000E+1	1.040000E-7	1.029100E-6	1.010592E-1	2.350410E-1
2.475000E+1	1.164000E-7	1.150000E-6	1.012174E-1	2.563280E-1
2.700000E+1	1.112000E-7	1.137700E-6	9.774106E-2	2.357996E-1
2.925000E+1	1.091000E-7	1.062000E-6	1.027307E-1	2.635055E-1
3.150000E+1	9.880000E-8	1.022200E-6	9.665428E-2	2.463116E-1
3.375000E+1	5.410000E-8	5.952000E-7	9.089382E-2	2.512090E-1
3.600000E+1	1.275000E-7	1.434300E-6	8.889354E-2	2.675289E-1
3.825000E+1	1.156000E-7	1.296800E-6	8.914250E-2	2.351367E-1
4.050000E+1	1.064000E-7	1.198700E-6	8.876283E-2	2.412478E-1
4.275000E+1	1.231000E-7	1.568700E-6	7.847262E-2	2.288803E-1
4.500000E+1	1.122000E-7	1.420600E-6	7.898071E-2	2.281510E-1
4.725000E+1	1.146000E-7	1.550300E-6	7.392118E-2	2.345907E-1
4.950000E+1	4.650000E-8	5.526000E-7	8.414767E-2	2.320887E-1
5.175000E+1	4.260000E-8	5.253000E-7	8.109652E-2	2.261762E-1
5.400000E+1	8.720000E-8	1.135500E-6	7.679436E-2	2.401709E-1
5.625000E+1	6.350000E-8	8.204000E-7	7.740127E-2	2.790653E-1
5.850000E+1	8.880000E-8	1.313300E-6	6.761593E-2	2.536038E-1
6.075000E+1	6.590000E-8	9.007000E-7	7.316532E-2	2.588927E-1
6.300000E+1	7.240000E-8	1.080300E-6	6.701842E-2	2.821178E-1
