 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	4.117000E-7	1.229000E-6	3.349878E-1
2.250000E+0	5.037000E-7	1.649000E-6	3.054579E-1
4.500000E+0	4.202000E-7	1.299000E-6	3.234796E-1
6.750000E+0	4.807000E-7	1.579000E-6	3.044332E-1
9.000000E+0	2.178000E-7	6.140000E-7	3.547231E-1
1.125000E+1	5.435000E-7	2.074000E-6	2.620540E-1
1.350000E+1	4.638000E-7	1.624000E-6	2.855911E-1
1.575000E+1	3.698000E-7	1.243000E-6	2.975060E-1
1.800000E+1	3.607000E-7	1.242000E-6	2.904187E-1
2.025000E+1	4.217000E-7	1.518000E-6	2.777997E-1
2.250000E+1	3.613000E-7	1.247000E-6	2.897354E-1
2.475000E+1	3.344000E-7	1.114000E-6	3.001795E-1
2.700000E+1	4.048000E-7	1.566000E-6	2.584930E-1
2.925000E+1	4.201000E-7	1.745000E-6	2.407450E-1
3.150000E+1	4.346000E-7	1.886000E-6	2.304348E-1
3.375000E+1	3.311000E-7	1.263000E-6	2.621536E-1
3.600000E+1	3.123000E-7	1.221000E-6	2.557740E-1
3.825000E+1	3.549000E-7	1.554000E-6	2.283784E-1
4.050000E+1	3.089000E-7	1.243000E-6	2.485117E-1
4.275000E+1	3.187000E-7	1.421000E-6	2.242787E-1
4.500000E+1	3.576000E-7	1.840000E-6	1.943478E-1
4.725000E+1	3.223000E-7	1.603000E-6	2.010605E-1
4.950000E+1	2.512000E-7	1.083000E-6	2.319483E-1
5.175000E+1	2.804000E-7	1.443000E-6	1.943174E-1
5.400000E+1	2.766000E-7	1.459000E-6	1.895819E-1
5.625000E+1	2.497000E-7	1.315000E-6	1.898859E-1
5.850000E+1	2.106000E-7	1.052000E-6	2.001901E-1
6.075000E+1	2.682000E-7	1.741000E-6	1.540494E-1
6.300000E+1	1.775000E-7	9.160000E-7	1.937773E-1
6.525000E+1	2.600000E-7	1.962000E-6	1.325178E-1
6.750000E+1	2.362000E-7	1.649000E-6	1.432383E-1
6.975000E+1	2.196000E-7	1.485000E-6	1.478788E-1
7.200000E+1	1.815000E-7	1.047000E-6	1.733524E-1
7.425000E+1	2.360000E-7	1.716000E-6	1.375291E-1
7.650000E+1	2.517000E-7	1.844000E-6	1.364967E-1
7.875000E+1	2.566000E-7	1.840000E-6	1.394565E-1
8.100000E+1	2.815000E-7	1.919000E-6	1.466910E-1
8.325000E+1	2.806000E-7	1.882000E-6	1.490967E-1
8.550000E+1	3.022000E-7	2.025000E-6	1.492346E-1
8.775000E+1	3.219000E-7	2.081000E-6	1.546852E-1
9.000000E+1	3.279000E-7	1.974000E-6	1.661094E-1
9.225000E+1	3.634000E-7	2.224000E-6	1.633993E-1
9.450000E+1	3.535000E-7	1.975000E-6	1.789873E-1
9.675000E+1	3.277000E-7	1.617000E-6	2.026592E-1
9.900000E+1	3.039000E-7	1.370000E-6	2.218248E-1
1.012500E+2	4.112000E-7	2.230000E-6	1.843946E-1
1.035000E+2	3.804000E-7	1.816000E-6	2.094714E-1
1.057500E+2	3.953000E-7	1.850000E-6	2.136757E-1
1.080000E+2	4.341000E-7	2.069000E-6	2.098115E-1
1.102500E+2	2.555000E-7	1.025000E-6	2.492683E-1
1.125000E+2	4.250000E-7	1.818000E-6	2.337734E-1
1.147500E+2	5.386000E-7	2.596000E-6	2.074730E-1
1.170000E+2	5.244000E-7	2.363000E-6	2.219213E-1
1.192500E+2	5.222000E-7	2.216000E-6	2.356498E-1
1.215000E+2	4.368000E-7	1.587000E-6	2.752363E-1
1.237500E+2	4.303000E-7	1.610000E-6	2.672671E-1
1.260000E+2	4.474000E-7	1.601000E-6	2.794503E-1
1.282500E+2	4.903000E-7	1.872000E-6	2.619124E-1
1.305000E+2	5.908000E-7	2.290000E-6	2.579913E-1
1.327500E+2	6.060000E-7	2.292000E-6	2.643979E-1
1.350000E+2	6.663000E-7	2.587000E-6	2.575570E-1
1.372500E+2	5.863000E-7	2.019000E-6	2.903913E-1
1.395000E+2	5.726000E-7	1.900000E-6	3.013684E-1
1.417500E+2	1.869000E-7	5.130000E-7	3.643275E-1
1.440000E+2	4.962000E-7	1.481000E-6	3.350439E-1
1.462500E+2	3.588000E-7	9.690000E-7	3.702786E-1
1.485000E+2	6.097000E-7	1.965000E-6	3.102799E-1
1.507500E+2	6.295000E-7	1.956000E-6	3.218303E-1
1.530000E+2	4.598000E-7	1.338000E-6	3.436472E-1
1.552500E+2	7.318000E-7	2.426000E-6	3.016488E-1
1.575000E+2	6.541000E-7	2.026000E-6	3.228529E-1
1.597500E+2	6.406000E-7	1.889000E-6	3.391212E-1
1.620000E+2	2.511000E-7	6.060000E-7	4.143564E-1
1.642500E+2	5.164000E-7	1.397000E-6	3.696492E-1
1.665000E+2	3.820000E-7	1.005000E-6	3.800995E-1
1.687500E+2	6.041000E-7	1.726000E-6	3.500000E-1
1.710000E+2	5.175000E-7	1.419000E-6	3.646934E-1
1.732500E+2	4.807000E-7	1.243000E-6	3.867257E-1
1.755000E+2	8.103000E-7	2.451000E-6	3.305998E-1
1.777500E+2	6.156000E-7	1.601000E-6	3.845097E-1
