  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	2.711000E-7	1.389000E-6	1.951764E-1	3.270973E-1
3.375000E+0	2.649000E-7	1.332000E-6	1.988739E-1	3.369782E-1
6.750000E+0	2.666000E-7	1.377000E-6	1.936093E-1	3.276152E-1
1.012500E+1	2.632000E-7	1.360000E-6	1.935294E-1	3.300480E-1
1.350000E+1	2.569000E-7	1.328000E-6	1.934488E-1	3.258085E-1
1.687500E+1	2.569000E-7	1.352000E-6	1.900148E-1	3.289188E-1
2.025000E+1	2.536000E-7	1.324000E-6	1.915408E-1	3.329477E-1
2.362500E+1	2.555000E-7	1.366000E-6	1.870425E-1	3.296501E-1
2.700000E+1	2.507000E-7	1.368000E-6	1.832602E-1	3.297946E-1
3.037500E+1	2.462000E-7	1.335000E-6	1.844195E-1	3.361271E-1
3.375000E+1	2.344000E-7	1.309000E-6	1.790680E-1	3.292849E-1
3.712500E+1	2.329000E-7	1.305000E-6	1.784674E-1	3.342957E-1
4.050000E+1	2.287000E-7	1.330000E-6	1.719549E-1	3.217259E-1
4.387500E+1	2.242000E-7	1.339000E-6	1.674384E-1	3.232259E-1
4.725000E+1	1.982000E-7	1.335000E-6	1.484644E-1	2.923083E-1
5.062500E+1	2.130800E-7	1.334000E-6	1.597301E-1	3.306221E-1
5.400000E+1	2.035100E-7	1.312000E-6	1.551143E-1	3.180818E-1
5.737500E+1	1.952100E-7	1.299000E-6	1.502771E-1	3.202890E-1
6.075000E+1	1.881300E-7	1.310000E-6	1.436107E-1	3.224350E-1
6.412500E+1	1.814200E-7	1.356000E-6	1.337906E-1	3.032029E-1
6.750000E+1	1.666100E-7	1.286000E-6	1.295568E-1	3.096723E-1
7.087500E+1	1.589900E-7	1.331000E-6	1.194515E-1	2.920551E-1
7.425000E+1	1.463200E-7	1.324000E-6	1.105136E-1	2.898914E-1
7.762500E+1	1.344800E-7	1.331000E-6	1.010368E-1	2.757078E-1
8.100000E+1	1.210300E-7	1.303000E-6	9.288565E-2	2.689419E-1
8.437500E+1	1.080200E-7	1.330000E-6	8.121805E-2	2.536136E-1
8.775000E+1	9.323000E-8	1.304000E-6	7.149540E-2	2.439230E-1
9.112500E+1	7.809000E-8	1.271000E-6	6.143981E-2	2.301972E-1
9.450000E+1	6.337000E-8	1.332000E-6	4.757508E-2	2.058023E-1
9.787500E+1	5.042000E-8	1.318000E-6	3.825493E-2	1.871265E-1
1.012500E+2	3.905000E-8	1.294000E-6	3.017774E-2	1.707054E-1
1.046250E+2	3.114000E-8	1.305000E-6	2.386207E-2	1.605240E-1
1.080000E+2	2.483000E-8	1.207000E-6	2.057167E-2	1.771923E-1
1.113750E+2	2.087000E-8	1.267000E-6	1.647198E-2	1.781632E-1
1.147500E+2	1.492000E-8	1.301000E-6	1.146810E-2	1.589390E-1
1.181250E+2	1.010000E-8	1.338000E-6	7.548580E-3	1.143459E-1
1.215000E+2	1.049000E-8	1.296000E-6	8.094136E-3	1.132560E-1
1.248750E+2	1.281000E-8	1.121000E-6	1.142730E-2	1.277951E-1
1.282500E+2	2.144444E-8	1.290000E-6	1.662360E-2	1.456995E-1
1.316250E+2	2.920000E-8	1.165000E-6	2.506438E-2	1.808519E-1
1.350000E+2	4.340000E-8	1.198000E-6	3.622705E-2	2.180960E-1
1.383750E+2	5.760000E-8	1.242000E-6	4.637681E-2	2.325258E-1
1.417500E+2	6.950000E-8	1.136000E-6	6.117958E-2	2.741380E-1
1.451250E+2	8.560000E-8	1.172000E-6	7.303754E-2	2.900692E-1
1.485000E+2	9.890000E-8	1.192000E-6	8.296980E-2	2.931481E-1
