  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	2.108000E-7	2.452000E-6	8.597064E-2	2.567598E-1
2.250000E+0	1.698000E-7	2.101000E-6	8.081866E-2	2.430853E-1
4.500000E+0	1.020000E-7	1.238000E-6	8.239095E-2	2.396221E-1
6.750000E+0	1.469000E-7	1.772000E-6	8.290068E-2	2.306356E-1
9.000000E+0	1.738000E-7	2.177000E-6	7.983463E-2	2.175193E-1
1.125000E+1	1.778000E-7	2.048000E-6	8.681641E-2	2.770862E-1
1.350000E+1	5.760000E-8	7.170000E-7	8.033473E-2	2.569050E-1
1.575000E+1	1.389000E-7	1.636000E-6	8.490220E-2	2.654988E-1
1.800000E+1	9.340000E-8	1.070000E-6	8.728972E-2	2.574488E-1
2.025000E+1	8.560000E-8	1.063000E-6	8.052681E-2	2.484627E-1
2.250000E+1	1.206000E-7	1.302000E-6	9.262673E-2	2.758399E-1
2.475000E+1	4.990000E-8	5.740000E-7	8.693380E-2	2.598195E-1
2.700000E+1	1.457000E-7	1.774000E-6	8.213078E-2	2.308793E-1
2.925000E+1	1.806000E-7	2.065000E-6	8.745763E-2	2.569182E-1
3.150000E+1	7.650000E-8	9.600000E-7	7.968750E-2	2.371070E-1
3.375000E+1	1.703000E-7	1.960000E-6	8.688776E-2	2.537460E-1
3.600000E+1	1.286000E-7	1.599000E-6	8.042527E-2	2.327520E-1
3.825000E+1	1.560000E-7	1.845000E-6	8.455285E-2	2.576180E-1
4.050000E+1	1.303000E-7	1.682000E-6	7.746730E-2	2.306915E-1
4.275000E+1	1.983000E-7	2.383000E-6	8.321444E-2	2.445764E-1
4.500000E+1	1.622000E-7	1.996000E-6	8.126253E-2	2.369906E-1
4.725000E+1	1.612000E-7	1.911000E-6	8.435374E-2	2.567575E-1
4.950000E+1	2.226000E-7	2.729000E-6	8.156834E-2	2.143679E-1
5.175000E+1	2.057000E-7	2.530000E-6	8.130435E-2	2.322571E-1
5.400000E+1	1.500000E-7	1.863000E-6	8.051530E-2	2.551895E-1
5.625000E+1	1.389000E-7	1.650000E-6	8.418182E-2	2.645416E-1
5.850000E+1	2.344000E-7	2.988000E-6	7.844712E-2	2.396702E-1
6.075000E+1	1.655000E-7	2.126000E-6	7.784572E-2	2.267086E-1
6.300000E+1	1.782000E-7	2.182000E-6	8.166819E-2	2.338822E-1
6.525000E+1	1.546000E-7	2.014000E-6	7.676266E-2	2.482689E-1
6.750000E+1	1.439000E-7	1.737000E-6	8.284398E-2	2.555495E-1
6.975000E+1	8.960000E-8	1.037000E-6	8.640309E-2	2.696738E-1
7.200000E+1	1.301000E-7	1.777000E-6	7.321328E-2	2.112757E-1
7.425000E+1	9.870000E-8	1.385000E-6	7.126354E-2	2.273622E-1
7.650000E+1	1.822000E-7	2.481000E-6	7.343813E-2	2.287115E-1
7.875000E+1	1.582000E-7	2.112000E-6	7.490530E-2	2.260805E-1
8.100000E+1	1.462000E-7	1.857000E-6	7.872913E-2	2.225184E-1
8.325000E+1	1.619000E-7	2.312000E-6	7.002595E-2	2.146262E-1
8.550000E+1	1.679000E-7	2.523000E-6	6.654776E-2	2.022837E-1
8.775000E+1	1.252000E-7	1.770000E-6	7.073446E-2	2.200628E-1
9.000000E+1	1.466000E-7	2.190000E-6	6.694064E-2	2.202301E-1
9.225000E+1	1.031000E-7	1.612000E-6	6.395782E-2	2.316104E-1
9.450000E+1	9.880000E-8	1.581000E-6	6.249209E-2	2.327886E-1
9.675000E+1	1.394000E-7	2.556000E-6	5.453834E-2	1.970428E-1
9.900000E+1	9.730000E-8	1.676000E-6	5.805489E-2	1.916244E-1
1.012500E+2	1.101000E-7	2.234000E-6	4.928380E-2	1.863885E-1
1.035000E+2	9.130000E-8	1.876000E-6	4.866738E-2	2.251631E-1
1.057500E+2	6.850000E-8	1.592000E-6	4.302764E-2	1.884123E-1
1.080000E+2	7.280000E-8	2.104000E-6	3.460076E-2	1.590755E-1
1.102500E+2	4.440000E-8	1.485000E-6	2.989899E-2	1.304087E-1
1.125000E+2	3.240000E-8	1.165000E-6	2.781116E-2	1.439041E-1
1.147500E+2	3.450000E-8	2.378000E-6	1.450799E-2	8.805845E-2
1.170000E+2	2.300000E-8	1.888000E-6	1.218220E-2	7.925679E-2
1.192500E+2	2.010000E-8	1.817000E-6	1.106219E-2	9.709883E-2
1.215000E+2	1.733333E-8	1.742222E-6	9.948980E-3	9.026558E-2
1.237500E+2	1.840000E-8	1.614000E-6	1.140025E-2	1.161707E-1
1.260000E+2	2.790000E-8	1.961000E-6	1.422743E-2	1.866976E-1
1.282500E+2	4.010000E-8	1.992000E-6	2.013052E-2	1.670339E-1
1.305000E+2	5.890000E-8	2.434000E-6	2.419885E-2	1.870945E-1
1.327500E+2	6.740000E-8	2.160000E-6	3.120370E-2	1.700917E-1
