 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	3.134000E-7	9.360000E-7	3.348291E-1
2.250000E+0	3.082000E-7	9.270000E-7	3.324703E-1
4.500000E+0	3.459000E-7	1.006000E-6	3.438370E-1
6.750000E+0	1.294000E-7	3.600000E-7	3.594444E-1
9.000000E+0	2.059000E-7	5.610000E-7	3.670232E-1
1.125000E+1	5.881000E-7	1.877000E-6	3.133191E-1
1.350000E+1	1.354000E-7	4.330000E-7	3.127021E-1
1.575000E+1	2.958000E-7	9.250000E-7	3.197838E-1
1.800000E+1	1.797000E-7	5.300000E-7	3.390566E-1
2.025000E+1	2.071000E-7	6.390000E-7	3.241002E-1
2.250000E+1	2.270000E-7	6.760000E-7	3.357988E-1
2.475000E+1	2.302000E-7	6.880000E-7	3.345930E-1
2.700000E+1	1.583000E-7	4.450000E-7	3.557303E-1
2.925000E+1	4.313000E-7	1.267000E-6	3.404104E-1
3.150000E+1	1.304000E-7	3.880000E-7	3.360825E-1
3.375000E+1	2.575000E-7	7.520000E-7	3.424202E-1
3.600000E+1	5.114000E-7	1.480000E-6	3.455405E-1
3.825000E+1	3.374000E-7	1.028000E-6	3.282101E-1
4.050000E+1	1.857000E-7	5.530000E-7	3.358047E-1
4.275000E+1	2.562000E-7	7.530000E-7	3.402390E-1
4.500000E+1	2.702000E-7	7.880000E-7	3.428934E-1
4.725000E+1	1.278000E-7	3.890000E-7	3.285347E-1
4.950000E+1	3.006000E-7	7.900000E-7	3.805063E-1
5.175000E+1	5.664000E-7	1.618000E-6	3.500618E-1
5.400000E+1	4.007000E-7	1.270000E-6	3.155118E-1
5.625000E+1	4.035000E-7	1.268000E-6	3.182177E-1
5.850000E+1	1.486000E-7	4.540000E-7	3.273128E-1
6.075000E+1	2.850000E-7	8.300000E-7	3.433735E-1
6.300000E+1	2.357000E-7	6.750000E-7	3.491852E-1
6.525000E+1	2.792000E-7	9.030000E-7	3.091916E-1
6.750000E+1	2.668000E-7	8.230000E-7	3.241798E-1
6.975000E+1	3.377000E-7	1.054000E-6	3.203985E-1
7.200000E+1	1.348000E-7	3.890000E-7	3.465296E-1
7.425000E+1	1.423000E-7	4.540000E-7	3.134361E-1
7.650000E+1	3.988000E-7	1.242000E-6	3.210950E-1
7.875000E+1	2.031000E-7	6.130000E-7	3.313214E-1
8.100000E+1	7.430000E-8	2.100000E-7	3.538095E-1
8.325000E+1	1.478000E-7	4.530000E-7	3.262693E-1
8.550000E+1	1.487000E-7	4.520000E-7	3.289823E-1
8.775000E+1	1.215000E-7	3.780000E-7	3.214286E-1
9.000000E+1	1.152000E-7	3.790000E-7	3.039578E-1
9.225000E+1	4.526000E-7	1.639000E-6	2.761440E-1
9.450000E+1	3.914000E-7	1.458000E-6	2.684499E-1
9.675000E+1	3.374000E-7	1.219000E-6	2.767842E-1
9.900000E+1	2.148000E-7	7.090000E-7	3.029619E-1
1.012500E+2	2.935000E-7	1.110000E-6	2.644144E-1
1.035000E+2	4.057000E-7	1.877000E-6	2.161428E-1
1.057500E+2	2.101000E-7	9.200000E-7	2.283696E-1
1.080000E+2	2.832000E-7	1.302000E-6	2.175115E-1
1.102500E+2	1.825000E-7	7.960000E-7	2.292714E-1
1.125000E+2	1.979000E-7	1.024000E-6	1.932617E-1
1.147500E+2	1.809000E-7	1.098000E-6	1.647541E-1
1.170000E+2	1.597000E-7	1.039000E-6	1.537055E-1
1.192500E+2	1.407000E-7	1.235000E-6	1.139271E-1
1.215000E+2	1.057000E-7	9.590000E-7	1.102190E-1
1.237500E+2	9.990000E-8	1.018000E-6	9.813360E-2
1.260000E+2	1.422000E-7	1.866000E-6	7.620579E-2
1.282500E+2	1.304000E-7	1.082000E-6	1.205176E-1
