 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	2.080000E-7	1.072000E-6	1.940299E-1
2.250000E+0	2.280000E-7	1.090000E-6	2.091743E-1
4.500000E+0	2.220000E-7	1.105000E-6	2.009050E-1
6.750000E+0	2.050000E-7	1.064000E-6	1.926692E-1
9.000000E+0	2.390000E-7	1.186000E-6	2.015177E-1
1.125000E+1	2.000000E-7	1.032000E-6	1.937984E-1
1.350000E+1	2.230000E-7	1.149000E-6	1.940818E-1
1.575000E+1	2.330000E-7	1.183000E-6	1.969569E-1
1.800000E+1	2.320000E-7	1.120000E-6	2.071429E-1
2.025000E+1	1.950000E-7	1.026000E-6	1.900585E-1
2.250000E+1	1.850000E-7	1.020000E-6	1.813725E-1
2.475000E+1	2.360000E-7	1.182000E-6	1.996616E-1
2.700000E+1	2.390000E-7	1.182000E-6	2.021997E-1
2.925000E+1	2.370000E-7	1.150000E-6	2.060870E-1
3.150000E+1	2.070000E-7	1.051000E-6	1.969553E-1
3.375000E+1	2.090000E-7	1.066000E-6	1.960600E-1
3.600000E+1	2.160000E-7	1.135000E-6	1.903084E-1
3.825000E+1	2.030000E-7	9.870000E-7	2.056738E-1
4.050000E+1	2.290000E-7	1.130000E-6	2.026549E-1
4.275000E+1	2.190000E-7	1.085000E-6	2.018433E-1
4.500000E+1	1.790000E-7	9.710000E-7	1.843460E-1
4.725000E+1	2.270000E-7	1.127000E-6	2.014197E-1
4.950000E+1	1.690000E-7	9.160000E-7	1.844978E-1
5.175000E+1	2.060000E-7	1.023000E-6	2.013685E-1
5.400000E+1	1.990000E-7	1.009000E-6	1.972250E-1
5.625000E+1	1.960000E-7	9.930000E-7	1.973817E-1
5.850000E+1	2.210000E-7	1.113000E-6	1.985624E-1
6.075000E+1	2.450000E-7	1.189000E-6	2.060555E-1
6.300000E+1	2.140000E-7	1.099000E-6	1.947225E-1
6.525000E+1	2.290000E-7	1.124000E-6	2.037367E-1
6.750000E+1	2.320000E-7	1.149000E-6	2.019147E-1
6.975000E+1	2.380000E-7	1.147000E-6	2.074978E-1
7.200000E+1	2.350000E-7	1.138000E-6	2.065026E-1
7.425000E+1	2.430000E-7	1.177000E-6	2.064571E-1
7.650000E+1	1.940000E-7	1.019000E-6	1.903827E-1
7.875000E+1	2.060000E-7	1.057000E-6	1.948912E-1
8.100000E+1	2.240000E-7	1.115000E-6	2.008969E-1
8.325000E+1	2.270000E-7	1.097000E-6	2.069280E-1
8.550000E+1	2.230000E-7	1.087000E-6	2.051518E-1
8.775000E+1	2.020000E-7	1.028000E-6	1.964981E-1
9.000000E+1	1.970000E-7	9.480000E-7	2.078059E-1
9.225000E+1	2.230000E-7	1.125000E-6	1.982222E-1
9.450000E+1	2.230000E-7	1.123000E-6	1.985752E-1
9.675000E+1	2.260000E-7	1.111000E-6	2.034203E-1
9.900000E+1	2.170000E-7	1.128000E-6	1.923759E-1
1.012500E+2	2.260000E-7	1.133000E-6	1.994704E-1
1.035000E+2	2.150000E-7	1.124000E-6	1.912811E-1
1.057500E+2	2.010000E-7	1.120000E-6	1.794643E-1
1.080000E+2	1.950000E-7	1.106000E-6	1.763110E-1
1.102500E+2	1.860000E-7	1.108000E-6	1.678700E-1
1.125000E+2	1.640000E-7	1.078000E-6	1.521336E-1
1.147500E+2	1.720000E-7	1.102000E-6	1.560799E-1
1.170000E+2	1.840000E-7	1.168000E-6	1.575342E-1
1.192500E+2	1.660000E-7	1.041000E-6	1.594621E-1
1.215000E+2	1.630000E-7	1.085000E-6	1.502304E-1
1.237500E+2	2.020000E-7	1.189000E-6	1.698907E-1
1.260000E+2	2.050000E-7	1.157000E-6	1.771824E-1
1.282500E+2	2.020000E-7	1.086000E-6	1.860037E-1
1.305000E+2	2.230000E-7	1.113000E-6	2.003594E-1
1.327500E+2	2.370000E-7	1.205000E-6	1.966805E-1
1.350000E+2	2.310000E-7	1.155000E-6	2.000000E-1
1.372500E+2	2.320000E-7	1.205000E-6	1.925311E-1
1.395000E+2	2.180000E-7	1.123000E-6	1.941229E-1
1.417500E+2	2.120000E-7	1.088000E-6	1.948529E-1
1.440000E+2	2.480000E-7	1.227000E-6	2.021190E-1
1.462500E+2	2.190000E-7	1.108000E-6	1.976534E-1
1.485000E+2	2.360000E-7	1.167000E-6	2.022279E-1
1.507500E+2	2.390000E-7	1.176000E-6	2.032313E-1
1.530000E+2	2.310000E-7	1.156000E-6	1.998270E-1
1.552500E+2	2.080000E-7	1.133000E-6	1.835834E-1
1.575000E+2	2.300000E-7	1.166000E-6	1.972556E-1
1.597500E+2	2.230000E-7	1.119000E-6	1.992851E-1
1.620000E+2	2.310000E-7	1.112000E-6	2.077338E-1
1.642500E+2	2.370000E-7	1.169000E-6	2.027374E-1
1.665000E+2	2.160000E-7	1.037000E-6	2.082932E-1
1.687500E+2	2.340000E-7	1.147000E-6	2.040105E-1
1.710000E+2	2.350000E-7	1.134000E-6	2.072310E-1
1.732500E+2	2.470000E-7	1.213000E-6	2.036274E-1
1.755000E+2	2.550000E-7	1.220000E-6	2.090164E-1
1.777500E+2	2.250000E-7	1.090000E-6	2.064220E-1
1.800000E+2	2.510000E-7	1.180000E-6	2.127119E-1
1.822500E+2	2.230000E-7	1.122000E-6	1.987522E-1
1.845000E+2	2.470000E-7	1.164000E-6	2.121993E-1
1.867500E+2	2.600000E-7	1.191000E-6	2.183039E-1
1.890000E+2	2.340000E-7	1.099000E-6	2.129208E-1
1.912500E+2	2.600000E-7	1.267000E-6	2.052092E-1
1.935000E+2	2.660000E-7	1.242000E-6	2.141707E-1
1.957500E+2	2.240000E-7	1.120000E-6	2.000000E-1
1.980000E+2	2.260000E-7	1.108000E-6	2.039711E-1
2.002500E+2	2.330000E-7	1.113000E-6	2.093441E-1
2.025000E+2	2.240000E-7	1.097000E-6	2.041933E-1
2.047500E+2	2.380000E-7	1.173000E-6	2.028986E-1
2.070000E+2	2.540000E-7	1.206000E-6	2.106136E-1
2.092500E+2	2.290000E-7	1.097000E-6	2.087511E-1
2.115000E+2	2.330000E-7	1.149000E-6	2.027850E-1
2.137500E+2	2.420000E-7	1.153000E-6	2.098873E-1
2.160000E+2	2.630000E-7	1.230000E-6	2.138211E-1
2.182500E+2	2.540000E-7	1.163000E-6	2.184007E-1
2.205000E+2	2.290000E-7	1.082000E-6	2.116451E-1
2.227500E+2	2.410000E-7	1.153000E-6	2.090199E-1
2.250000E+2	2.310000E-7	1.102000E-6	2.096189E-1
2.272500E+2	2.480000E-7	1.159000E-6	2.139776E-1
2.295000E+2	2.520000E-7	1.167000E-6	2.159383E-1
2.317500E+2	2.240000E-7	1.088000E-6	2.058824E-1
2.340000E+2	2.400000E-7	1.119000E-6	2.144772E-1
2.362500E+2	2.450000E-7	1.168000E-6	2.097603E-1
2.385000E+2	2.620000E-7	1.198000E-6	2.186978E-1
2.407500E+2	2.700000E-7	1.241000E-6	2.175665E-1
2.430000E+2	2.580000E-7	1.202000E-6	2.146423E-1
2.452500E+2	2.450000E-7	1.149000E-6	2.132289E-1
2.475000E+2	2.400000E-7	1.141000E-6	2.103418E-1
