 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	7.855000E-7	1.322000E-6	5.941755E-1
2.250000E+0	8.092000E-7	1.384000E-6	5.846821E-1
4.500000E+0	7.675000E-7	1.305000E-6	5.881226E-1
6.750000E+0	8.262000E-7	1.408000E-6	5.867898E-1
9.000000E+0	7.522000E-7	1.295000E-6	5.808494E-1
1.125000E+1	7.741000E-7	1.354000E-6	5.717134E-1
1.350000E+1	7.022000E-7	1.198000E-6	5.861436E-1
1.575000E+1	7.514000E-7	1.321000E-6	5.688115E-1
1.800000E+1	6.652000E-7	1.189000E-6	5.594617E-1
2.025000E+1	7.256000E-7	1.287000E-6	5.637918E-1
2.250000E+1	7.338000E-7	1.304000E-6	5.627301E-1
2.475000E+1	7.108000E-7	1.278000E-6	5.561815E-1
2.700000E+1	7.392000E-7	1.345000E-6	5.495911E-1
2.925000E+1	7.413000E-7	1.355000E-6	5.470849E-1
3.150000E+1	7.573000E-7	1.430000E-6	5.295804E-1
3.375000E+1	7.205000E-7	1.362000E-6	5.290015E-1
3.600000E+1	6.969000E-7	1.314000E-6	5.303653E-1
3.825000E+1	6.254000E-7	1.137000E-6	5.500440E-1
4.050000E+1	7.024000E-7	1.375000E-6	5.108364E-1
4.275000E+1	6.810000E-7	1.311000E-6	5.194508E-1
4.500000E+1	6.980000E-7	1.400000E-6	4.985714E-1
4.725000E+1	6.535000E-7	1.285000E-6	5.085603E-1
4.950000E+1	6.738000E-7	1.352000E-6	4.983728E-1
5.175000E+1	6.603000E-7	1.337000E-6	4.938669E-1
5.400000E+1	6.066000E-7	1.246000E-6	4.868379E-1
5.625000E+1	6.223000E-7	1.297000E-6	4.797995E-1
5.850000E+1	6.138000E-7	1.305000E-6	4.703448E-1
6.075000E+1	6.052000E-7	1.307000E-6	4.630451E-1
6.300000E+1	5.781000E-7	1.245000E-6	4.643373E-1
6.525000E+1	5.914000E-7	1.325000E-6	4.463396E-1
6.750000E+1	5.762000E-7	1.323000E-6	4.355253E-1
6.975000E+1	5.807000E-7	1.375000E-6	4.223273E-1
7.200000E+1	5.614000E-7	1.356000E-6	4.140118E-1
7.425000E+1	4.992000E-7	1.187000E-6	4.205560E-1
7.650000E+1	5.190000E-7	1.324000E-6	3.919940E-1
7.875000E+1	5.201000E-7	1.353000E-6	3.844050E-1
8.100000E+1	4.747000E-7	1.273000E-6	3.728987E-1
