  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	5.062000E-8	1.202000E-6	4.211314E-2	9.245327E-2
2.250000E+0	5.094000E-8	1.217000E-6	4.185703E-2	9.329111E-2
4.500000E+0	4.629000E-8	1.078000E-6	4.294063E-2	9.446939E-2
6.750000E+0	4.689000E-8	1.116000E-6	4.201613E-2	9.394709E-2
9.000000E+0	4.628000E-8	1.095000E-6	4.226484E-2	9.500642E-2
1.125000E+1	5.019000E-8	1.223000E-6	4.103843E-2	9.352086E-2
1.350000E+1	4.786000E-8	1.174000E-6	4.076661E-2	9.217466E-2
1.575000E+1	4.867000E-8	1.209000E-6	4.025641E-2	9.292382E-2
1.800000E+1	4.704000E-8	1.169000E-6	4.023952E-2	9.186269E-2
2.025000E+1	4.871000E-8	1.213000E-6	4.015664E-2	9.202030E-2
2.250000E+1	4.422000E-8	1.098000E-6	4.027322E-2	9.418675E-2
2.475000E+1	4.272000E-8	1.053000E-6	4.056980E-2	9.634311E-2
2.700000E+1	4.494000E-8	1.136000E-6	3.955986E-2	9.334739E-2
2.925000E+1	4.534000E-8	1.160000E-6	3.908621E-2	9.353827E-2
3.150000E+1	4.602000E-8	1.203000E-6	3.825436E-2	9.168657E-2
3.375000E+1	3.841000E-8	9.820000E-7	3.911405E-2	9.512047E-2
3.600000E+1	4.456000E-8	1.201000E-6	3.710241E-2	9.022365E-2
3.825000E+1	4.232000E-8	1.131000E-6	3.741821E-2	9.242235E-2
4.050000E+1	4.125000E-8	1.118000E-6	3.689624E-2	9.261922E-2
4.275000E+1	4.303000E-8	1.219000E-6	3.529943E-2	9.026656E-2
4.500000E+1	4.092000E-8	1.161000E-6	3.524548E-2	9.057541E-2
4.725000E+1	4.047000E-8	1.152000E-6	3.513021E-2	9.063273E-2
4.950000E+1	3.937000E-8	1.161000E-6	3.391042E-2	8.907672E-2
5.175000E+1	3.976000E-8	1.194000E-6	3.329983E-2	8.947228E-2
5.400000E+1	3.918000E-8	1.199000E-6	3.267723E-2	8.821909E-2
5.625000E+1	3.748000E-8	1.177000E-6	3.184367E-2	8.634069E-2
5.850000E+1	3.811000E-8	1.253000E-6	3.041500E-2	8.444461E-2
6.075000E+1	3.533000E-8	1.165000E-6	3.032618E-2	8.674484E-2
6.300000E+1	3.421000E-8	1.169000E-6	2.926433E-2	8.578465E-2
6.525000E+1	3.362000E-8	1.187000E-6	2.832350E-2	8.535454E-2
6.750000E+1	3.187000E-8	1.122000E-6	2.840463E-2	8.549559E-2
6.975000E+1	3.276000E-8	1.221000E-6	2.683047E-2	8.360326E-2
7.200000E+1	3.156000E-8	1.197000E-6	2.636591E-2	8.489753E-2
7.425000E+1	2.991000E-8	1.164000E-6	2.569588E-2	8.413953E-2
7.650000E+1	2.933000E-8	1.154000E-6	2.541594E-2	8.500531E-2
7.875000E+1	2.818000E-8	1.176000E-6	2.396259E-2	8.386542E-2
8.100000E+1	2.650000E-8	1.169000E-6	2.266895E-2	8.037625E-2
8.325000E+1	2.481000E-8	1.146000E-6	2.164921E-2	8.052826E-2
8.550000E+1	2.382000E-8	1.173000E-6	2.030691E-2	7.882629E-2
8.775000E+1	2.245000E-8	1.196000E-6	1.877090E-2	7.364600E-2
9.000000E+1	2.100000E-8	1.154000E-6	1.819757E-2	7.493119E-2
9.225000E+1	1.989000E-8	1.128000E-6	1.763298E-2	7.737678E-2
9.450000E+1	1.893000E-8	1.149000E-6	1.647520E-2	7.660772E-2
9.675000E+1	1.837000E-8	1.176000E-6	1.562075E-2	7.492246E-2
9.900000E+1	1.728000E-8	1.258000E-6	1.373609E-2	7.272402E-2
1.012500E+2	1.510000E-8	1.160000E-6	1.301724E-2	7.251945E-2
1.035000E+2	1.375000E-8	1.204000E-6	1.142027E-2	6.584960E-2
1.057500E+2	1.222000E-8	1.207000E-6	1.012428E-2	6.280501E-2
1.080000E+2	1.062000E-8	1.164000E-6	9.123711E-3	6.158370E-2
1.102500E+2	9.450000E-9	1.177000E-6	8.028887E-3	5.783044E-2
1.125000E+2	8.889000E-9	1.149000E-6	7.736292E-3	6.236399E-2
1.147500E+2	8.012000E-9	1.154000E-6	6.942808E-3	6.331841E-2
1.170000E+2	6.981000E-9	1.128000E-6	6.188830E-3	6.178583E-2
1.192500E+2	6.403000E-9	1.142000E-6	5.606830E-3	6.140316E-2
1.215000E+2	6.144000E-9	1.159000E-6	5.301122E-3	6.641764E-2
1.237500E+2	5.467000E-9	1.188000E-6	4.601852E-3	6.605219E-2
1.260000E+2	3.929000E-9	1.165000E-6	3.372532E-3	5.924016E-2
1.282500E+2	2.659000E-9	1.121000E-6	2.371989E-3	4.865512E-2
1.305000E+2	2.276000E-9	1.155000E-6	1.970563E-3	4.291992E-2
1.327500E+2	2.268000E-9	1.147000E-6	1.977332E-3	4.274161E-2
1.350000E+2	3.086000E-9	1.196000E-6	2.580268E-3	4.817271E-2
1.372500E+2	3.419000E-9	1.133000E-6	3.017652E-3	4.755789E-2
1.395000E+2	3.726000E-9	1.041000E-6	3.579251E-3	4.653422E-2
