 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	6.758000E-7	1.279000E-6	5.283815E-1
2.250000E+0	2.837000E-7	4.950000E-7	5.731313E-1
4.500000E+0	6.078000E-7	1.144000E-6	5.312937E-1
6.750000E+0	7.483000E-7	1.404000E-6	5.329772E-1
9.000000E+0	7.134000E-7	1.380000E-6	5.169565E-1
1.125000E+1	2.672000E-7	4.860000E-7	5.497942E-1
1.350000E+1	6.419000E-7	1.213000E-6	5.291838E-1
1.575000E+1	7.316000E-7	1.365000E-6	5.359707E-1
1.800000E+1	7.378000E-7	1.418000E-6	5.203103E-1
2.025000E+1	5.008000E-7	9.260000E-7	5.408207E-1
2.250000E+1	6.711000E-7	1.328000E-6	5.053464E-1
2.475000E+1	5.126000E-7	1.012000E-6	5.065217E-1
2.700000E+1	5.872000E-7	1.120000E-6	5.242857E-1
2.925000E+1	5.948000E-7	1.139000E-6	5.222125E-1
3.150000E+1	5.249000E-7	1.071000E-6	4.901027E-1
3.375000E+1	5.164000E-7	9.950000E-7	5.189950E-1
3.600000E+1	6.748000E-7	1.347000E-6	5.009651E-1
3.825000E+1	4.845000E-7	9.800000E-7	4.943878E-1
4.050000E+1	6.493000E-7	1.310000E-6	4.956489E-1
4.275000E+1	5.095000E-7	1.010000E-6	5.044554E-1
4.500000E+1	6.705000E-7	1.395000E-6	4.806452E-1
4.725000E+1	5.754000E-7	1.158000E-6	4.968912E-1
4.950000E+1	6.006000E-7	1.243000E-6	4.831858E-1
5.175000E+1	3.724000E-7	7.390000E-7	5.039242E-1
5.400000E+1	5.862000E-7	1.172000E-6	5.001706E-1
5.625000E+1	4.166000E-7	9.230000E-7	4.513543E-1
5.850000E+1	7.659000E-7	1.699000E-6	4.507946E-1
6.075000E+1	6.492000E-7	1.432000E-6	4.533520E-1
6.300000E+1	3.385000E-7	6.900000E-7	4.905797E-1
6.525000E+1	4.978000E-7	1.020000E-6	4.880392E-1
6.750000E+1	5.223000E-7	1.146000E-6	4.557592E-1
6.975000E+1	4.341000E-7	9.780000E-7	4.438650E-1
7.200000E+1	3.334000E-7	7.000000E-7	4.762857E-1
7.425000E+1	5.176000E-7	1.170000E-6	4.423932E-1
7.650000E+1	4.244000E-7	9.070000E-7	4.679162E-1
7.875000E+1	5.207000E-7	1.195000E-6	4.357322E-1
8.100000E+1	5.106000E-7	1.206000E-6	4.233831E-1
8.325000E+1	4.207000E-7	9.810000E-7	4.288481E-1
8.550000E+1	4.514000E-7	1.102000E-6	4.096189E-1
8.775000E+1	3.712000E-7	9.350000E-7	3.970053E-1
9.000000E+1	5.180000E-7	1.471000E-6	3.521414E-1
9.225000E+1	4.339000E-7	1.144000E-6	3.792832E-1
9.450000E+1	3.654000E-7	9.410000E-7	3.883103E-1
9.675000E+1	3.725000E-7	1.019000E-6	3.655545E-1
9.900000E+1	2.661000E-7	6.860000E-7	3.879009E-1
1.012500E+2	3.191000E-7	9.460000E-7	3.373150E-1
1.035000E+2	3.174000E-7	9.570000E-7	3.316614E-1
1.057500E+2	2.627000E-7	8.360000E-7	3.142344E-1
1.080000E+2	2.619000E-7	8.750000E-7	2.993143E-1
1.102500E+2	2.860000E-7	1.140000E-6	2.508772E-1
1.125000E+2	2.703000E-7	1.147000E-6	2.356582E-1
1.147500E+2	2.557000E-7	1.212000E-6	2.109736E-1
1.170000E+2	2.251000E-7	1.194000E-6	1.885260E-1
1.192500E+2	1.940000E-7	1.181000E-6	1.642676E-1
1.215000E+2	1.386000E-7	8.210000E-7	1.688185E-1
1.237500E+2	1.336000E-7	1.108000E-6	1.205776E-1
1.260000E+2	1.120000E-7	1.195000E-6	9.372385E-2
1.282500E+2	8.040000E-8	1.087000E-6	7.396504E-2
1.305000E+2	6.520000E-8	1.131000E-6	5.764810E-2
1.327500E+2	6.330000E-8	1.333000E-6	4.748687E-2
1.350000E+2	5.090000E-8	1.181000E-6	4.309907E-2
1.372500E+2	3.860000E-8	6.880000E-7	5.610465E-2
1.395000E+2	8.300000E-8	1.224000E-6	6.781046E-2
