 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	1.780000E-7	1.121000E-6	1.587868E-1
2.250000E+0	1.654000E-7	1.051000E-6	1.573739E-1
4.500000E+0	1.486000E-7	9.480000E-7	1.567511E-1
6.750000E+0	1.718000E-7	1.073000E-6	1.601118E-1
9.000000E+0	1.655000E-7	1.042000E-6	1.588292E-1
1.125000E+1	1.913000E-7	1.152000E-6	1.660590E-1
1.350000E+1	1.724000E-7	1.070000E-6	1.611215E-1
1.575000E+1	1.733000E-7	1.057000E-6	1.639546E-1
1.800000E+1	1.590000E-7	1.005000E-6	1.582090E-1
2.025000E+1	1.691000E-7	1.043000E-6	1.621285E-1
2.250000E+1	1.777000E-7	1.097000E-6	1.619872E-1
2.475000E+1	1.943000E-7	1.180000E-6	1.646610E-1
2.700000E+1	1.818000E-7	1.098000E-6	1.655738E-1
2.925000E+1	1.828000E-7	1.132000E-6	1.614841E-1
3.150000E+1	1.906000E-7	1.154000E-6	1.651646E-1
3.375000E+1	2.076000E-7	1.275000E-6	1.628235E-1
3.600000E+1	2.157000E-7	1.284000E-6	1.679907E-1
3.825000E+1	2.268000E-7	1.353000E-6	1.676275E-1
4.050000E+1	2.247000E-7	1.351000E-6	1.663212E-1
4.275000E+1	2.108000E-7	1.273000E-6	1.655931E-1
4.500000E+1	2.286000E-7	1.377000E-6	1.660131E-1
4.725000E+1	2.289000E-7	1.383000E-6	1.655098E-1
4.950000E+1	2.339000E-7	1.440000E-6	1.624306E-1
5.175000E+1	2.315000E-7	1.424000E-6	1.625702E-1
5.400000E+1	2.409000E-7	1.479000E-6	1.628803E-1
5.625000E+1	2.345000E-7	1.458000E-6	1.608368E-1
5.850000E+1	2.327000E-7	1.442000E-6	1.613731E-1
6.075000E+1	2.293000E-7	1.455000E-6	1.575945E-1
6.300000E+1	2.308000E-7	1.439000E-6	1.603892E-1
6.525000E+1	2.289000E-7	1.421000E-6	1.610837E-1
6.750000E+1	2.286000E-7	1.451000E-6	1.575465E-1
6.975000E+1	2.255000E-7	1.444000E-6	1.561634E-1
7.200000E+1	2.291000E-7	1.493000E-6	1.534494E-1
7.425000E+1	2.275000E-7	1.481000E-6	1.536124E-1
7.650000E+1	2.226000E-7	1.475000E-6	1.509153E-1
7.875000E+1	2.219000E-7	1.485000E-6	1.494276E-1
8.100000E+1	2.178000E-7	1.469000E-6	1.482641E-1
8.325000E+1	2.187000E-7	1.488000E-6	1.469758E-1
8.550000E+1	2.118000E-7	1.467000E-6	1.443763E-1
8.775000E+1	2.097000E-7	1.503000E-6	1.395210E-1
9.000000E+1	2.023000E-7	1.463000E-6	1.382775E-1
9.225000E+1	2.027000E-7	1.548000E-6	1.309432E-1
9.450000E+1	1.824000E-7	1.371000E-6	1.330416E-1
9.675000E+1	1.798000E-7	1.404000E-6	1.280627E-1
9.900000E+1	1.768000E-7	1.445000E-6	1.223529E-1
1.012500E+2	1.669000E-7	1.424000E-6	1.172051E-1
1.035000E+2	1.629000E-7	1.411000E-6	1.154500E-1
1.057500E+2	1.483000E-7	1.333000E-6	1.112528E-1
1.080000E+2	1.461000E-7	1.416000E-6	1.031780E-1
1.102500E+2	1.382000E-7	1.405000E-6	9.836299E-2
1.125000E+2	1.334000E-7	1.402000E-6	9.514979E-2
1.147500E+2	1.294000E-7	1.399000E-6	9.249464E-2
1.170000E+2	1.297000E-7	1.448000E-6	8.957182E-2
1.192500E+2	1.286000E-7	1.366000E-6	9.414348E-2
1.215000E+2	1.346000E-7	1.301000E-6	1.034589E-1
1.237500E+2	1.434000E-7	1.356000E-6	1.057522E-1
1.260000E+2	1.439000E-7	1.259000E-6	1.142971E-1
1.282500E+2	1.501000E-7	1.284000E-6	1.169003E-1
1.305000E+2	1.568000E-7	1.317000E-6	1.190585E-1
1.327500E+2	1.666000E-7	1.356000E-6	1.228614E-1
1.350000E+2	1.527000E-7	1.155000E-6	1.322078E-1
1.372500E+2	1.664000E-7	1.256000E-6	1.324841E-1
1.395000E+2	1.690000E-7	1.232000E-6	1.371753E-1
1.417500E+2	1.816000E-7	1.307000E-6	1.389441E-1
1.440000E+2	1.738000E-7	1.252000E-6	1.388179E-1
1.462500E+2	1.784000E-7	1.266000E-6	1.409163E-1
1.485000E+2	1.803000E-7	1.249000E-6	1.443555E-1
1.507500E+2	1.626000E-7	1.148000E-6	1.416376E-1
1.530000E+2	1.501000E-7	1.082000E-6	1.387246E-1
1.552500E+2	1.678000E-7	1.212000E-6	1.384488E-1
1.575000E+2	1.803000E-7	1.198000E-6	1.505008E-1
1.597500E+2	1.992000E-7	1.272000E-6	1.566038E-1
1.620000E+2	2.033000E-7	1.304000E-6	1.559049E-1
1.642500E+2	1.926000E-7	1.206000E-6	1.597015E-1
1.665000E+2	1.946000E-7	1.181000E-6	1.647756E-1
1.687500E+2	1.963000E-7	1.178000E-6	1.666384E-1
1.710000E+2	2.245000E-7	1.357000E-6	1.654385E-1
1.732500E+2	2.000000E-7	1.195000E-6	1.673640E-1
1.755000E+2	2.074000E-7	1.237000E-6	1.676637E-1
1.777500E+2	2.102000E-7	1.246000E-6	1.686998E-1
1.800000E+2	2.176000E-7	1.277000E-6	1.703994E-1
