  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	1.038300E-7	1.232000E-6	8.427760E-2	1.418396E-1
2.250000E+0	1.038200E-7	1.228000E-6	8.454397E-2	1.445982E-1
4.500000E+0	1.015600E-7	1.223000E-6	8.304170E-2	1.411979E-1
6.750000E+0	9.957000E-8	1.178000E-6	8.452462E-2	1.440458E-1
9.000000E+0	1.035700E-7	1.259000E-6	8.226370E-2	1.416266E-1
1.125000E+1	1.026500E-7	1.248000E-6	8.225160E-2	1.438686E-1
1.350000E+1	1.032800E-7	1.290000E-6	8.006202E-2	1.365911E-1
1.575000E+1	1.027900E-7	1.278000E-6	8.043036E-2	1.414007E-1
1.800000E+1	1.006800E-7	1.269000E-6	7.933806E-2	1.418114E-1
2.025000E+1	1.020600E-7	1.296000E-6	7.875000E-2	1.396792E-1
2.250000E+1	1.017900E-7	1.337000E-6	7.613313E-2	1.352925E-1
2.475000E+1	9.979000E-8	1.293000E-6	7.717711E-2	1.387624E-1
2.700000E+1	9.913000E-8	1.275000E-6	7.774902E-2	1.414670E-1
2.925000E+1	9.213000E-8	1.179000E-6	7.814249E-2	1.428343E-1
3.150000E+1	9.417000E-8	1.226000E-6	7.681077E-2	1.450408E-1
3.375000E+1	9.343000E-8	1.253000E-6	7.456504E-2	1.409543E-1
3.600000E+1	9.116000E-8	1.216000E-6	7.496711E-2	1.413499E-1
3.825000E+1	9.389000E-8	1.294000E-6	7.255796E-2	1.319130E-1
4.050000E+1	9.268000E-8	1.309000E-6	7.080214E-2	1.386004E-1
4.275000E+1	8.808000E-8	1.268000E-6	6.946372E-2	1.337253E-1
4.500000E+1	8.765000E-8	1.269000E-6	6.907013E-2	1.385361E-1
4.725000E+1	8.264000E-8	1.189000E-6	6.950378E-2	1.366677E-1
4.950000E+1	8.424000E-8	1.274000E-6	6.612245E-2	1.326767E-1
5.175000E+1	8.465000E-8	1.330000E-6	6.364662E-2	1.288740E-1
5.400000E+1	8.221000E-8	1.322000E-6	6.218608E-2	1.277347E-1
5.625000E+1	7.697000E-8	1.211000E-6	6.355904E-2	1.324700E-1
5.850000E+1	7.610000E-8	1.228000E-6	6.197068E-2	1.317559E-1
6.075000E+1	7.453000E-8	1.254000E-6	5.943381E-2	1.283542E-1
6.300000E+1	7.267000E-8	1.265000E-6	5.744664E-2	1.237175E-1
6.525000E+1	7.117000E-8	1.303000E-6	5.462011E-2	1.223734E-1
6.750000E+1	6.879000E-8	1.273000E-6	5.403771E-2	1.240748E-1
6.975000E+1	6.857000E-8	1.340000E-6	5.117164E-2	1.211658E-1
7.200000E+1	6.521000E-8	1.282000E-6	5.086583E-2	1.228608E-1
7.425000E+1	6.102000E-8	1.201000E-6	5.080766E-2	1.208107E-1
7.650000E+1	6.043000E-8	1.267000E-6	4.769534E-2	1.216737E-1
7.875000E+1	5.917000E-8	1.316000E-6	4.496201E-2	1.169652E-1
8.100000E+1	5.607000E-8	1.255000E-6	4.467729E-2	1.198108E-1
8.325000E+1	5.390000E-8	1.289000E-6	4.181536E-2	1.180523E-1
8.550000E+1	5.205000E-8	1.370000E-6	3.799270E-2	1.080227E-1
8.775000E+1	4.866000E-8	1.345000E-6	3.617844E-2	1.085435E-1
9.000000E+1	4.298000E-8	1.191000E-6	3.608732E-2	1.057802E-1
9.225000E+1	4.166000E-8	1.289000E-6	3.231963E-2	1.069684E-1
9.450000E+1	3.930000E-8	1.340000E-6	2.932836E-2	9.887359E-2
9.675000E+1	3.598000E-8	1.264000E-6	2.846519E-2	9.569296E-2
9.900000E+1	3.273000E-8	1.263000E-6	2.591449E-2	9.850537E-2
1.012500E+2	3.119000E-8	1.410000E-6	2.212057E-2	9.363961E-2
1.035000E+2	2.739000E-8	1.277000E-6	2.144871E-2	9.190255E-2
1.057500E+2	2.228000E-8	1.342000E-6	1.660209E-2	7.731984E-2
1.080000E+2	2.078200E-8	1.302000E-6	1.596160E-2	8.114799E-2
1.102500E+2	1.780100E-8	1.336000E-6	1.332410E-2	7.651248E-2
1.125000E+2	1.551200E-8	1.374000E-6	1.128967E-2	6.946675E-2
1.147500E+2	1.266100E-8	1.262000E-6	1.003249E-2	7.016618E-2
1.170000E+2	1.009500E-8	1.299000E-6	7.771363E-3	6.264981E-2
1.192500E+2	8.338000E-9	1.327000E-6	6.283346E-3	5.533344E-2
1.215000E+2	7.067000E-9	1.361000E-6	5.192506E-3	5.404200E-2
1.237500E+2	5.820000E-9	1.296000E-6	4.490741E-3	5.504138E-2
1.260000E+2	4.938000E-9	1.263000E-6	3.909739E-3	5.943972E-2
1.282500E+2	4.234000E-9	1.305000E-6	3.244444E-3	5.694140E-2
1.305000E+2	4.011000E-9	1.254000E-6	3.198565E-3	6.085405E-2
1.327500E+2	4.760000E-9	1.275000E-6	3.733333E-3	7.354555E-2
1.350000E+2	6.970000E-9	1.343000E-6	5.189873E-3	8.870341E-2
1.372500E+2	1.016000E-8	1.331000E-6	7.633358E-3	1.061930E-1
1.395000E+2	1.296000E-8	1.334000E-6	9.715142E-3	1.147859E-1
1.417500E+2	1.505000E-8	1.347000E-6	1.117298E-2	1.081881E-1
1.440000E+2	1.733000E-8	1.410000E-6	1.229078E-2	1.028013E-1
1.462500E+2	1.949000E-8	1.386000E-6	1.406205E-2	1.046771E-1
1.485000E+2	2.120000E-8	1.346000E-6	1.575037E-2	1.052720E-1
1.507500E+2	2.286000E-8	1.392000E-6	1.642241E-2	9.726416E-2
1.530000E+2	2.387000E-8	1.264000E-6	1.888449E-2	1.009970E-1
1.552500E+2	2.624000E-8	1.300000E-6	2.018462E-2	9.598107E-2
1.575000E+2	2.896000E-8	1.339000E-6	2.162808E-2	9.829502E-2
1.597500E+2	3.240000E-8	1.368000E-6	2.368421E-2	1.003834E-1
1.620000E+2	3.626000E-8	1.365000E-6	2.656410E-2	1.052840E-1
1.642500E+2	4.053000E-8	1.403000E-6	2.888810E-2	1.106097E-1
1.665000E+2	4.429000E-8	1.404000E-6	3.154558E-2	1.142443E-1
1.687500E+2	4.717000E-8	1.369000E-6	3.445581E-2	1.172608E-1
1.710000E+2	5.086000E-8	1.410000E-6	3.607092E-2	1.153478E-1
1.732500E+2	5.416000E-8	1.420000E-6	3.814085E-2	1.170966E-1
1.755000E+2	5.767000E-8	1.439000E-6	4.007644E-2	1.187282E-1
1.777500E+2	5.918000E-8	1.310000E-6	4.517557E-2	1.298103E-1
1.800000E+2	6.263000E-8	1.323000E-6	4.733938E-2	1.308634E-1
1.822500E+2	6.596000E-8	1.335000E-6	4.940824E-2	1.305651E-1
1.845000E+2	6.947000E-8	1.336000E-6	5.199850E-2	1.323541E-1
1.867500E+2	7.215000E-8	1.307000E-6	5.520275E-2	1.391523E-1
1.890000E+2	7.658000E-8	1.360000E-6	5.630882E-2	1.362720E-1
1.912500E+2	7.992000E-8	1.354000E-6	5.902511E-2	1.388959E-1
1.935000E+2	7.931000E-8	1.288000E-6	6.157609E-2	1.392533E-1
1.957500E+2	8.216000E-8	1.341000E-6	6.126771E-2	1.429543E-1
1.980000E+2	8.042000E-8	1.219000E-6	6.597211E-2	1.475448E-1
2.002500E+2	8.864000E-8	1.418000E-6	6.251058E-2	1.373447E-1
2.025000E+2	9.094000E-8	1.420000E-6	6.404225E-2	1.394110E-1
2.047500E+2	9.244000E-8	1.379000E-6	6.703408E-2	1.447191E-1
2.070000E+2	9.702000E-8	1.466000E-6	6.618008E-2	1.396204E-1
2.092500E+2	9.717000E-8	1.369000E-6	7.097882E-2	1.470742E-1
2.115000E+2	9.654000E-8	1.311000E-6	7.363844E-2	1.463250E-1
2.137500E+2	9.721000E-8	1.312000E-6	7.409299E-2	1.486693E-1
2.160000E+2	1.036100E-7	1.404000E-6	7.379630E-2	1.476362E-1
2.182500E+2	1.065000E-7	1.377000E-6	7.734205E-2	1.524325E-1
2.205000E+2	1.049500E-7	1.307000E-6	8.029839E-2	1.540404E-1
2.227500E+2	1.083200E-7	1.377000E-6	7.866376E-2	1.509207E-1
2.250000E+2	1.140500E-7	1.407000E-6	8.105899E-2	1.526172E-1
2.272500E+2	1.111400E-7	1.318000E-6	8.432473E-2	1.568694E-1
