  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	6.480000E-8	1.273000E-6	5.090338E-2	2.370754E-1
2.250000E+0	6.440000E-8	1.264000E-6	5.094937E-2	2.334334E-1
4.500000E+0	5.900000E-8	1.168000E-6	5.051370E-2	2.368653E-1
6.750000E+0	6.050000E-8	1.182000E-6	5.118443E-2	2.426716E-1
9.000000E+0	6.920000E-8	1.381000E-6	5.010862E-2	2.334056E-1
1.125000E+1	7.030000E-8	1.353000E-6	5.195861E-2	2.426439E-1
1.350000E+1	6.260000E-8	1.216000E-6	5.148026E-2	2.451554E-1
1.575000E+1	5.940000E-8	1.176000E-6	5.051020E-2	2.280132E-1
1.800000E+1	6.450000E-8	1.259000E-6	5.123114E-2	2.363884E-1
2.025000E+1	6.580000E-8	1.267000E-6	5.193370E-2	2.486494E-1
2.250000E+1	6.120000E-8	1.187000E-6	5.155855E-2	2.421454E-1
2.475000E+1	5.950000E-8	1.144000E-6	5.201049E-2	2.421706E-1
2.700000E+1	5.840000E-8	1.145000E-6	5.100437E-2	2.352741E-1
2.925000E+1	6.340000E-8	1.210000E-6	5.239669E-2	2.500641E-1
3.150000E+1	6.880000E-8	1.306000E-6	5.267994E-2	2.404171E-1
3.375000E+1	6.790000E-8	1.314000E-6	5.167428E-2	2.425343E-1
3.600000E+1	6.740000E-8	1.291000E-6	5.220759E-2	2.409248E-1
3.825000E+1	6.760000E-8	1.286000E-6	5.256610E-2	2.543927E-1
4.050000E+1	6.810000E-8	1.291000E-6	5.274981E-2	2.562807E-1
4.275000E+1	6.600000E-8	1.262000E-6	5.229794E-2	2.435048E-1
4.500000E+1	6.640000E-8	1.279000E-6	5.191556E-2	2.453481E-1
4.725000E+1	6.670000E-8	1.275000E-6	5.231373E-2	2.607166E-1
4.950000E+1	6.170000E-8	1.171000E-6	5.269001E-2	2.419525E-1
5.175000E+1	6.340000E-8	1.233000E-6	5.141930E-2	2.348193E-1
5.400000E+1	6.790000E-8	1.303000E-6	5.211051E-2	2.380603E-1
5.625000E+1	6.590000E-8	1.219000E-6	5.406071E-2	2.632498E-1
5.850000E+1	6.760000E-8	1.269000E-6	5.327029E-2	2.510764E-1
6.075000E+1	6.030000E-8	1.143000E-6	5.275591E-2	2.455801E-1
6.300000E+1	6.330000E-8	1.198000E-6	5.283806E-2	2.457896E-1
6.525000E+1	6.610000E-8	1.242000E-6	5.322061E-2	2.482474E-1
6.750000E+1	6.590000E-8	1.231000E-6	5.353371E-2	2.393159E-1
6.975000E+1	6.670000E-8	1.241000E-6	5.374698E-2	2.475133E-1
7.200000E+1	6.490000E-8	1.205000E-6	5.385892E-2	2.430854E-1
7.425000E+1	6.370000E-8	1.184000E-6	5.380068E-2	2.453130E-1
7.650000E+1	6.670000E-8	1.232000E-6	5.413961E-2	2.520368E-1
7.875000E+1	6.380000E-8	1.195000E-6	5.338912E-2	2.504370E-1
8.100000E+1	6.710000E-8	1.241000E-6	5.406930E-2	2.518330E-1
8.325000E+1	6.580000E-8	1.206000E-6	5.456053E-2	2.565245E-1
8.550000E+1	6.440000E-8	1.199000E-6	5.371143E-2	2.577552E-1
8.775000E+1	5.380000E-8	1.044000E-6	5.153257E-2	2.582116E-1
9.000000E+1	5.570000E-8	1.062000E-6	5.244821E-2	2.520000E-1
9.225000E+1	5.790000E-8	1.112000E-6	5.206835E-2	2.544041E-1
9.450000E+1	6.470000E-8	1.230000E-6	5.260163E-2	2.581046E-1
9.675000E+1	6.300000E-8	1.207000E-6	5.219553E-2	2.602866E-1
9.900000E+1	5.900000E-8	1.170000E-6	5.042735E-2	2.506025E-1
1.012500E+2	5.610000E-8	1.142000E-6	4.912434E-2	2.495276E-1
1.035000E+2	5.540000E-8	1.193000E-6	4.643755E-2	2.471935E-1
1.057500E+2	5.050000E-8	1.140000E-6	4.429825E-2	2.377790E-1
1.080000E+2	4.910000E-8	1.168000E-6	4.203767E-2	2.349587E-1
1.102500E+2	4.540000E-8	1.156000E-6	3.927336E-2	2.247073E-1
1.125000E+2	4.320000E-8	1.143000E-6	3.779528E-2	2.222727E-1
1.147500E+2	4.100000E-8	1.211000E-6	3.385632E-2	2.047905E-1
1.170000E+2	3.920000E-8	1.123000E-6	3.490650E-2	2.404879E-1
1.192500E+2	4.110000E-8	1.137000E-6	3.614776E-2	2.279680E-1
1.215000E+2	4.470000E-8	1.118000E-6	3.998211E-2	2.390051E-1
1.237500E+2	4.760000E-8	1.143000E-6	4.164479E-2	2.394480E-1
1.260000E+2	5.700000E-8	1.343000E-6	4.244229E-2	2.323746E-1
1.282500E+2	5.360000E-8	1.169000E-6	4.585115E-2	2.393980E-1
1.305000E+2	5.240000E-8	1.157000E-6	4.528954E-2	2.328321E-1
1.327500E+2	5.620000E-8	1.241000E-6	4.528606E-2	2.273613E-1
1.350000E+2	5.060000E-8	1.073000E-6	4.715750E-2	2.325419E-1
1.372500E+2	5.560000E-8	1.136000E-6	4.894366E-2	2.377788E-1
1.395000E+2	5.540000E-8	1.126000E-6	4.920071E-2	2.326297E-1
1.417500E+2	5.450000E-8	1.114000E-6	4.892280E-2	2.307884E-1
1.440000E+2	5.630000E-8	1.111000E-6	5.067507E-2	2.457614E-1
1.462500E+2	5.750000E-8	1.144000E-6	5.026224E-2	2.360034E-1
1.485000E+2	6.570000E-8	1.276000E-6	5.148903E-2	2.434580E-1
1.507500E+2	6.600000E-8	1.226000E-6	5.383361E-2	2.530863E-1
1.530000E+2	6.150000E-8	1.172000E-6	5.247440E-2	2.517016E-1
1.552500E+2	6.600000E-8	1.241000E-6	5.318292E-2	2.517376E-1
1.575000E+2	6.590000E-8	1.231000E-6	5.353371E-2	2.530168E-1
1.597500E+2	6.650000E-8	1.224000E-6	5.433007E-2	2.575338E-1
1.620000E+2	6.730000E-8	1.220000E-6	5.516393E-2	2.526677E-1
1.642500E+2	7.140000E-8	1.281000E-6	5.573770E-2	2.566656E-1
1.665000E+2	6.970000E-8	1.270000E-6	5.488189E-2	2.495862E-1
1.687500E+2	6.500000E-8	1.167000E-6	5.569837E-2	2.477610E-1
1.710000E+2	6.380000E-8	1.143000E-6	5.581802E-2	2.492475E-1
1.732500E+2	7.270000E-8	1.283000E-6	5.666407E-2	2.579358E-1
1.755000E+2	7.020000E-8	1.234000E-6	5.688817E-2	2.562509E-1
1.777500E+2	6.740000E-8	1.165000E-6	5.785408E-2	2.614792E-1
1.800000E+2	6.360000E-8	1.107000E-6	5.745257E-2	2.549363E-1
1.822500E+2	5.790000E-8	1.055000E-6	5.488152E-2	2.414025E-1
1.845000E+2	6.780000E-8	1.180000E-6	5.745763E-2	2.505803E-1
1.867500E+2	6.840000E-8	1.163000E-6	5.881341E-2	2.541527E-1
1.890000E+2	6.490000E-8	1.141000E-6	5.687993E-2	2.472066E-1
1.912500E+2	6.510000E-8	1.124000E-6	5.791815E-2	2.550648E-1
1.935000E+2	7.120000E-8	1.210000E-6	5.884298E-2	2.710109E-1
1.957500E+2	7.890000E-8	1.296000E-6	6.087963E-2	2.796883E-1
1.980000E+2	7.270000E-8	1.210000E-6	6.008264E-2	2.788752E-1
2.002500E+2	6.850000E-8	1.154000E-6	5.935875E-2	2.641499E-1
2.025000E+2	7.030000E-8	1.162000E-6	6.049914E-2	2.652111E-1
2.047500E+2	7.200000E-8	1.199000E-6	6.005004E-2	2.606910E-1
2.070000E+2	7.020000E-8	1.186000E-6	5.919056E-2	2.576098E-1
2.092500E+2	6.370000E-8	1.075000E-6	5.925581E-2	2.592300E-1
2.115000E+2	6.830000E-8	1.132000E-6	6.033569E-2	2.711208E-1
2.137500E+2	7.480000E-8	1.229000E-6	6.086249E-2	2.823996E-1
2.160000E+2	7.090000E-8	1.183000E-6	5.993238E-2	2.577449E-1
2.182500E+2	5.810000E-8	1.013000E-6	5.735439E-2	2.552017E-1
2.205000E+2	6.290000E-8	1.067000E-6	5.895033E-2	2.652136E-1
2.227500E+2	7.430000E-8	1.215000E-6	6.115226E-2	2.672140E-1
2.250000E+2	7.990000E-8	1.294000E-6	6.174652E-2	2.650780E-1
2.272500E+2	7.130000E-8	1.172000E-6	6.083618E-2	2.619936E-1
2.295000E+2	6.610000E-8	1.096000E-6	6.031022E-2	2.581511E-1
2.317500E+2	6.420000E-8	1.072000E-6	5.988806E-2	2.582066E-1
2.340000E+2	7.050000E-8	1.151000E-6	6.125109E-2	2.682316E-1
2.362500E+2	7.120000E-8	1.175000E-6	6.059574E-2	2.605150E-1
2.385000E+2	7.560000E-8	1.196000E-6	6.321070E-2	2.693287E-1
2.407500E+2	6.140000E-8	1.036000E-6	5.926641E-2	2.571598E-1
2.430000E+2	5.760000E-8	1.004000E-6	5.737052E-2	2.451286E-1
2.452500E+2	7.020000E-8	1.143000E-6	6.141732E-2	2.606847E-1
2.475000E+2	6.800000E-8	1.105000E-6	6.153846E-2	2.601317E-1
2.497500E+2	6.310000E-8	1.066000E-6	5.919325E-2	2.498858E-1
2.520000E+2	7.430000E-8	1.210000E-6	6.140496E-2	2.652010E-1
2.542500E+2	7.640000E-8	1.214000E-6	6.293245E-2	2.719215E-1
2.565000E+2	6.760000E-8	1.105000E-6	6.117647E-2	2.581995E-1
2.587500E+2	5.420000E-8	9.550000E-7	5.675393E-2	2.394874E-1
2.610000E+2	7.120000E-8	1.148000E-6	6.202091E-2	2.635999E-1
2.632500E+2	7.680000E-8	1.225000E-6	6.269388E-2	2.689237E-1
2.655000E+2	7.620000E-8	1.213000E-6	6.281946E-2	2.710305E-1
2.677500E+2	6.900000E-8	1.152000E-6	5.989583E-2	2.629386E-1
