  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	1.675000E-7	1.842000E-6	9.093377E-2	1.760457E-1
2.250000E+0	1.663000E-7	1.838000E-6	9.047878E-2	1.765806E-1
4.500000E+0	1.633000E-7	1.781000E-6	9.169006E-2	1.774702E-1
6.750000E+0	1.721000E-7	1.946000E-6	8.843782E-2	1.714611E-1
9.000000E+0	1.611000E-7	1.786000E-6	9.020157E-2	1.737355E-1
1.125000E+1	1.407000E-7	1.447000E-6	9.723566E-2	1.893441E-1
1.350000E+1	1.534000E-7	1.679000E-6	9.136391E-2	1.780482E-1
1.575000E+1	1.534000E-7	1.674000E-6	9.163680E-2	1.807622E-1
1.800000E+1	1.557000E-7	1.717000E-6	9.068142E-2	1.816333E-1
2.025000E+1	1.674000E-7	1.891000E-6	8.852459E-2	1.727132E-1
2.250000E+1	1.550000E-7	1.688000E-6	9.182464E-2	1.785971E-1
2.475000E+1	1.491000E-7	1.656000E-6	9.003623E-2	1.776568E-1
2.700000E+1	1.540000E-7	1.744000E-6	8.830275E-2	1.743760E-1
2.925000E+1	1.510000E-7	1.672000E-6	9.031100E-2	1.812475E-1
3.150000E+1	1.562000E-7	1.727000E-6	9.044586E-2	1.771069E-1
3.375000E+1	1.516000E-7	1.718000E-6	8.824214E-2	1.782602E-1
3.600000E+1	1.373000E-7	1.484000E-6	9.252022E-2	1.893212E-1
3.825000E+1	1.410000E-7	1.576000E-6	8.946701E-2	1.826697E-1
4.050000E+1	1.439000E-7	1.658000E-6	8.679131E-2	1.796208E-1
4.275000E+1	1.294000E-7	1.436000E-6	9.011142E-2	1.812218E-1
4.500000E+1	1.239000E-7	1.366000E-6	9.070278E-2	1.870477E-1
4.725000E+1	1.463000E-7	1.745000E-6	8.383954E-2	1.735341E-1
4.950000E+1	1.467000E-7	1.881000E-6	7.799043E-2	1.623081E-1
5.175000E+1	1.467000E-7	1.875000E-6	7.824000E-2	1.630273E-1
5.400000E+1	1.493000E-7	2.014000E-6	7.413108E-2	1.608251E-1
5.625000E+1	1.331000E-7	1.718000E-6	7.747381E-2	1.693764E-1
5.850000E+1	1.257000E-7	1.610000E-6	7.807453E-2	1.650176E-1
6.075000E+1	1.374000E-7	1.905000E-6	7.212598E-2	1.536788E-1
6.300000E+1	1.350000E-7	1.957000E-6	6.898314E-2	1.487559E-1
6.525000E+1	1.325000E-7	1.971000E-6	6.722476E-2	1.437569E-1
6.750000E+1	1.272000E-7	1.939000E-6	6.560083E-2	1.434798E-1
6.975000E+1	1.259000E-7	2.024000E-6	6.220356E-2	1.431839E-1
7.200000E+1	1.190000E-7	1.905000E-6	6.246719E-2	1.397752E-1
7.425000E+1	1.145000E-7	1.907000E-6	6.004195E-2	1.468613E-1
7.650000E+1	1.108000E-7	1.884000E-6	5.881104E-2	1.501714E-1
7.875000E+1	1.060000E-7	1.940000E-6	5.463918E-2	1.317966E-1
8.100000E+1	1.015000E-7	1.887000E-6	5.378908E-2	1.372905E-1
8.325000E+1	9.240000E-8	1.738000E-6	5.316456E-2	1.392702E-1
8.550000E+1	8.970000E-8	1.818000E-6	4.933993E-2	1.345397E-1
8.775000E+1	7.860000E-8	1.651000E-6	4.760751E-2	1.340406E-1
9.000000E+1	7.670000E-8	1.819000E-6	4.216603E-2	1.216987E-1
9.225000E+1	6.880000E-8	1.826000E-6	3.767798E-2	1.119729E-1
9.450000E+1	6.370000E-8	1.842000E-6	3.458198E-2	1.112593E-1
9.675000E+1	5.680000E-8	1.771000E-6	3.207228E-2	1.068693E-1
9.900000E+1	4.870000E-8	1.946000E-6	2.502569E-2	9.029417E-2
1.012500E+2	4.190000E-8	1.972000E-6	2.124746E-2	9.524003E-2
1.035000E+2	3.550000E-8	1.850000E-6	1.918919E-2	9.082079E-2
1.057500E+2	2.300000E-8	1.652000E-6	1.392252E-2	7.214105E-2
1.080000E+2	1.838200E-8	1.730000E-6	1.062543E-2	7.087007E-2
1.102500E+2	1.223300E-8	1.629000E-6	7.509515E-3	5.271364E-2
1.125000E+2	7.869000E-9	1.450000E-6	5.426897E-3	5.562463E-2
1.147500E+2	4.846000E-9	1.282000E-6	3.780031E-3	5.240775E-2
1.170000E+2	3.295000E-9	1.438000E-6	2.291377E-3	4.931948E-2
1.192500E+2	2.440000E-9	1.353000E-6	1.803400E-3	5.355366E-2
1.215000E+2	2.566000E-9	1.181000E-6	2.172735E-3	9.217149E-2
1.237500E+2	6.080000E-9	1.234000E-6	4.927066E-3	1.391108E-1
1.260000E+2	1.414000E-8	1.248000E-6	1.133013E-2	2.006661E-1
1.282500E+2	2.530000E-8	1.239000E-6	2.041969E-2	2.461771E-1
1.305000E+2	2.580000E-8	1.292000E-6	1.996904E-2	1.617993E-1
1.327500E+2	3.260000E-8	1.491000E-6	2.186452E-2	1.635868E-1
1.350000E+2	3.600000E-8	1.259000E-6	2.859412E-2	1.739561E-1
1.372500E+2	4.180000E-8	1.383000E-6	3.022415E-2	1.615858E-1
1.395000E+2	4.450000E-8	1.179000E-6	3.774385E-2	1.763185E-1
1.417500E+2	4.860000E-8	1.117000E-6	4.350940E-2	1.865540E-1
1.440000E+2	5.980000E-8	1.343000E-6	4.452718E-2	1.756435E-1
1.462500E+2	6.710000E-8	1.384000E-6	4.848266E-2	1.702144E-1
1.485000E+2	6.980000E-8	1.274000E-6	5.478807E-2	1.846583E-1
1.507500E+2	7.710000E-8	1.401000E-6	5.503212E-2	1.765545E-1
1.530000E+2	7.550000E-8	1.172000E-6	6.441980E-2	1.920378E-1
1.552500E+2	8.250000E-8	1.234000E-6	6.685575E-2	1.910164E-1
1.575000E+2	9.100000E-8	1.356000E-6	6.710914E-2	1.847747E-1
1.597500E+2	9.060000E-8	1.214000E-6	7.462932E-2	1.966869E-1
1.620000E+2	1.036000E-7	1.428000E-6	7.254902E-2	1.847841E-1
1.642500E+2	1.093000E-7	1.461000E-6	7.481177E-2	1.940100E-1
1.665000E+2	8.370000E-8	9.290000E-7	9.009688E-2	2.179606E-1
1.687500E+2	1.068000E-7	1.264000E-6	8.449367E-2	2.086901E-1
1.710000E+2	1.042000E-7	1.155000E-6	9.021645E-2	2.158360E-1
1.732500E+2	1.116000E-7	1.288000E-6	8.664596E-2	2.014105E-1
1.755000E+2	1.108000E-7	1.201000E-6	9.225645E-2	2.131418E-1
